"    Landmark","X3","Y3","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY"
"POGONION","45.4","-90.5","46.1","-93.7","0.7","-3.2","45.2","-93.7","-0.2","-3.2","45.9","-95.5","0.5","-5.0","46.2","-97.2","0.8","-6.7","47.1","-98.1","1.7","-7.5","47.9","-100.7","2.5","-10.1","48.2","-104.6","2.8","-14.1"
"MENTON","39.6","-94.8","39.9","-97.7","0.3","-2.9","40.3","-98.2","0.7","-3.4","39.9","-100.3","0.3","-5.4","40.5","-101.7","0.9","-6.9","41.6","-103.3","2.0","-8.5","42.6","-104.8","3.0","-9.9","42.3","-108.5","2.7","-13.7"
"U 6 APEX","32.2","-41.1","33.7","-43.9","1.5","-2.8","34.0","-43.7","1.8","-2.6","33.7","-45.6","1.5","-4.5","33.5","-46.0","1.3","-4.9","35.3","-47.1","3.1","-6.0","35.3","-49.0","3.1","-7.9","36.7","-50.4","4.5","-9.3"
"U 6 CUSP","27.9","-55.4","28.7","-58.1","0.9","-2.7","29.1","-59.2","1.2","-3.7","29.0","-59.8","1.1","-4.3","29.7","-62.0","1.8","-6.5","31.0","-63.0","3.1","-7.5","31.2","-63.7","3.3","-8.3","33.7","-66.3","5.8","-10.9"
"L 6 CUSP","27.8","-57.6","28.4","-59.8","0.6","-2.3","28.5","-59.6","0.7","-2.0","28.7","-61.0","0.9","-3.4","29.4","-62.8","1.6","-5.2","31.1","-64.2","3.3","-6.7","32.1","-65.0","4.2","-7.4","33.8","-68.0","6.0","-10.4"
"L 6 APEX","20.5","-73.6","20.3","-76.5","-0.2","-2.8","19.7","-77.5","-0.8","-3.8","20.6","-80.5","0.1","-6.9","21.2","-82.9","0.8","-9.3","23.8","-81.7","3.3","-8.1","25.4","-83.0","4.9","-9.4","25.7","-86.6","5.2","-13.0"
"GONION L","-7.8","-68.7","-8.4","-72.2","-0.6","-3.6","-10.1","-70.0","-2.2","-1.3","-10.7","-71.5","-2.8","-2.9","-12.2","-72.5","-4.4","-3.9","-9.9","-72.0","-2.1","-3.4","-11.3","-77.3","-3.5","-8.6","-12.7","-79.5","-4.8","-10.8"
"GONION U","-5.4","-67.3","-7.5","-68.0","-2.1","-0.7","-9.9","-66.6","-4.5","0.7","-9.4","-67.4","-4.0","-0.1","-8.9","-69.7","-3.5","-2.4","-10.8","-71.1","-5.4","-3.8","-9.6","-71.8","-4.2","-4.5","-7.5","-75.1","-2.1","-7.8"
"CONDYLE","-12.2","-16.6","-12.6","-14.7","-0.4","1.9","-14.6","-13.9","-2.4","2.8","-14.4","-14.9","-2.2","1.7","-14.8","-16.5","-2.7","0.1","-15.4","-14.5","-3.2","2.1","-15.0","-16.9","-2.8","-0.3","-15.3","-18.6","-3.2","-1.9"
"PNS","15.0","-39.0","17.0","-40.2","2.0","-1.2","16.8","-40.9","1.8","-1.9","15.4","-42.0","0.4","-3.0","15.1","-42.9","0.1","-3.9","19.1","-43.3","4.0","-4.3","15.8","-45.0","0.8","-6.0","14.9","-45.1","-0.1","-6.1"
"BASION","-22.0","-33.6","-24.2","-35.9","-2.2","-2.3","-23.8","-33.4","-1.8","0.2","-26.4","-33.8","-4.5","-0.1","-24.9","-37.8","-2.9","-4.2","-29.1","-36.3","-7.2","-2.7","-26.1","-39.5","-4.1","-5.9","-27.4","-39.0","-5.5","-5.4"
"U_6_MCP","29.6","-54.0","31.8","-56.2","2.2","-2.2","31.3","-57.1","1.7","-3.2","31.8","-57.4","2.2","-3.4","32.2","-60.4","2.6","-6.4","33.9","-61.0","4.3","-7.0","33.3","-61.6","3.7","-7.7","35.2","-64.3","5.6","-10.3"
"L_6_MCP","27.8","-61.0","29.6","-63.3","1.8","-2.3","29.2","-63.0","1.4","-2.0","30.3","-64.9","2.5","-3.9","30.1","-67.1","2.3","-6.1","32.1","-67.7","4.3","-6.7","32.6","-70.1","4.8","-9.1","34.1","-71.4","6.3","-10.4"
"ANS","63.6","-45.7","64.5","-47.4","0.8","-1.7","63.8","-48.2","0.1","-2.5","64.2","-49.8","0.6","-4.2","65.3","-50.4","1.7","-4.7","66.4","-51.5","2.8","-5.9","67.2","-52.9","3.5","-7.2","68.9","-54.1","5.3","-8.4"
"ARTICULAR","-15.2","-29.9","-15.1","-30.3","0.0","-0.4","-16.9","-29.9","-1.8","0.0","-17.9","-28.7","-2.8","1.2","-17.3","-32.5","-2.2","-2.6","-18.0","-31.8","-2.8","-1.9","-18.4","-35.1","-3.3","-5.2","-18.4","-33.6","-3.3","-3.7"
