"    Landmark","X3","Y3","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","64.6","0.0","67.5","0.0","2.9","0.0","67.3","0.0","2.7","0.0","68.6","0.0","4.0","0.0","68.9","0.0","4.3","0.0","70.3","0.0","5.6","0.0","70.7","0.0","6.1","0.0","72.7","0.0","8.1","0.0"
"PORION","-17.2","-12.1","-20.1","-9.3","-2.9","2.8","-20.6","-11.5","-3.4","0.5","-22.2","-10.2","-5.0","1.8","-21.1","-12.9","-3.9","-0.9","-24.5","-11.5","-7.3","0.5","-21.5","-15.9","-4.3","-3.8","-21.7","-17.3","-4.5","-5.3"
"ORBITALE","48.0","-21.6","47.9","-22.5","-0.1","-0.9","49.4","-22.2","1.4","-0.7","48.8","-23.1","0.8","-1.5","48.9","-23.6","1.0","-2.0","49.8","-23.2","1.8","-1.6","49.9","-24.0","1.9","-2.4","51.9","-24.6","3.9","-3.0"
"U I APEX","53.9","-46.0","53.7","-48.2","-0.2","-2.2","54.4","-49.5","0.5","-3.6","55.1","-51.9","1.2","-5.9","55.9","-50.5","2.0","-4.5","56.3","-51.9","2.3","-5.9","56.9","-52.6","3.0","-6.6","59.6","-54.0","5.7","-8.0"
"POINT A","58.0","-47.9","58.5","-49.7","0.4","-1.8","58.8","-50.5","0.7","-2.7","59.1","-50.8","1.1","-3.0","60.1","-51.9","2.1","-4.0","60.7","-53.4","2.6","-5.5","61.4","-54.4","3.4","-6.6","63.0","-56.3","5.0","-8.4"
"U I EDGE","55.8","-67.2","57.9","-70.5","2.1","-3.3","58.1","-71.3","2.3","-4.1","58.6","-72.4","2.8","-5.2","59.7","-74.3","3.9","-7.1","60.8","-75.0","5.0","-7.8","61.1","-76.5","5.3","-9.3","61.5","-78.3","5.7","-11.1"
"L I EDGE","53.8","-63.9","54.4","-66.5","0.7","-2.6","54.2","-65.6","0.5","-1.7","54.9","-65.9","1.1","-1.9","56.1","-68.3","2.4","-4.4","57.0","-68.9","3.2","-5.0","56.8","-70.4","3.1","-6.5","58.6","-72.2","4.8","-8.2"
"POINT B","48.0","-80.6","47.1","-82.3","-0.9","-1.7","46.1","-82.7","-1.9","-2.1","46.6","-82.8","-1.4","-2.2","46.7","-85.0","-1.3","-4.3","47.5","-86.7","-0.5","-6.0","48.0","-87.1","0.1","-6.5","48.6","-90.2","0.6","-9.6"
"L I APEX","43.1","-81.2","43.4","-82.6","0.2","-1.4","43.2","-82.6","0.0","-1.4","41.3","-84.6","-1.8","-3.4","42.1","-85.3","-1.1","-4.0","43.6","-86.0","0.4","-4.8","45.4","-85.8","2.3","-4.5","44.6","-88.7","1.4","-7.5"
