"    Landmark","X1","Y1","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X10","Y10","dX","dY"
"L 6 CUSP","25.4","-55.1","27.2","-56.8","1.8","-1.7","28.2","-59.4","2.8","-4.3","29.6","-61.8","4.2","-6.6","31.0","-65.0","5.6","-9.9","32.8","-69.1","7.4","-14.0","36.6","-74.1","11.2","-19.0"
"L 6 APEX","18.7","-69.1","21.2","-71.2","2.5","-2.1","20.9","-75.7","2.3","-6.6","23.0","-78.0","4.4","-9.0","24.1","-81.6","5.4","-12.5","25.8","-87.0","7.2","-17.9","28.4","-90.8","9.8","-21.7"
"GONION L","-4.3","-68.0","-7.6","-67.9","-3.3","0.1","-7.5","-73.9","-3.2","-5.9","-9.9","-73.9","-5.6","-5.9","-9.7","-79.1","-5.4","-11.1","-11.9","-79.2","-7.6","-11.2","-4.9","-88.7","-0.6","-20.7"
"GONION U","-5.8","-65.3","-7.4","-66.4","-1.6","-1.1","-7.3","-69.4","-1.5","-4.1","-9.9","-70.9","-4.1","-5.5","-9.2","-73.9","-3.4","-8.6","-11.6","-76.5","-5.8","-11.2","-8.4","-83.1","-2.6","-17.8"
"CONDYLE","-10.6","-15.3","-13.0","-15.6","-2.4","-0.3","-13.3","-12.0","-2.8","3.3","-14.0","-12.8","-3.5","2.6","-15.4","-14.7","-4.9","0.6","-16.7","-13.3","-6.1","2.0","-15.7","-12.3","-5.2","3.0"
"PNS","13.8","-33.6","15.8","-36.4","2.0","-2.8","13.9","-38.4","0.1","-4.9","15.3","-39.0","1.5","-5.5","16.3","-42.0","2.5","-8.5","15.1","-42.0","1.3","-8.5","14.7","-44.8","0.9","-11.3"
"BASION","-23.1","-30.1","-23.6","-32.0","-0.5","-1.9","-25.1","-29.2","-1.9","1.0","-24.4","-29.9","-1.3","0.2","-30.1","-30.8","-7.0","-0.6","-30.5","-30.5","-7.4","-0.4","-32.1","-32.5","-9.0","-2.4"
"U_6_MCP","28.9","-51.5","30.5","-53.9","1.6","-2.4","31.4","-57.7","2.4","-6.2","33.0","-59.4","4.1","-7.9","33.9","-62.4","4.9","-10.9","35.1","-65.5","6.2","-14.0","39.1","-69.4","10.2","-17.9"
"L_6_MCP","26.6","-58.8","28.1","-60.1","1.5","-1.4","29.0","-63.8","2.4","-5.0","30.5","-66.1","3.9","-7.3","33.6","-69.4","7.0","-10.6","34.9","-73.0","8.3","-14.2","38.6","-78.5","12.0","-19.8"
"ANS","62.9","-43.4","64.5","-45.5","1.5","-2.1","65.6","-47.9","2.6","-4.5","64.8","-49.2","1.8","-5.9","69.3","-51.4","6.3","-8.0","69.8","-53.4","6.8","-10.1","74.0","-55.8","11.0","-12.4"
"ARTICULAR","-15.1","-26.3","-15.3","-27.9","-0.2","-1.6","-18.2","-24.8","-3.1","1.5","-18.1","-26.8","-2.9","-0.5","-20.2","-26.6","-5.0","-0.3","-21.6","-27.9","-6.5","-1.6","-22.1","-28.7","-6.9","-2.4"
