"    Landmark","X1","Y1","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X10","Y10","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","61.9","0.0","64.5","0.0","2.5","0.0","66.0","0.0","4.0","0.0","66.9","0.0","5.0","0.0","68.9","0.0","7.0","0.0","69.8","0.0","7.9","0.0","73.7","0.0","11.7","0.0"
"PORION","-14.0","-9.4","-13.2","-4.9","0.8","4.6","-17.7","-9.6","-3.7","-0.2","-19.4","-8.7","-5.4","0.7","-18.6","-8.5","-4.6","0.9","-23.0","-9.9","-9.0","-0.5","-19.2","-6.0","-5.2","3.4"
"ORBITALE","48.4","-22.5","49.6","-22.4","1.3","0.0","51.5","-21.1","3.1","1.3","50.8","-23.3","2.5","-0.8","53.9","-22.0","5.5","0.4","52.8","-23.0","4.4","-0.5","57.5","-23.2","9.1","-0.7"
"U I APEX","n/a","n/a","52.7","-43.0","n/a","n/a","54.4","-49.1","n/a","n/a","54.4","-49.4","n/a","n/a","56.3","-52.2","n/a","n/a","57.9","-55.4","n/a","n/a","62.4","-60.5","n/a","n/a"
"POINT A","n/a","n/a","59.3","-48.7","n/a","n/a","59.6","-51.8","n/a","n/a","60.6","-52.8","n/a","n/a","63.3","-54.9","n/a","n/a","64.2","-57.3","n/a","n/a","67.7","-61.4","n/a","n/a"
"U I EDGE","n/a","n/a","54.3","-60.1","n/a","n/a","60.6","-70.9","n/a","n/a","61.3","-72.3","n/a","n/a","65.2","-76.2","n/a","n/a","65.4","-78.7","n/a","n/a","69.3","-83.0","n/a","n/a"
"L I EDGE","n/a","n/a","54.4","-64.4","n/a","n/a","57.7","-66.6","n/a","n/a","58.5","-68.3","n/a","n/a","62.1","-71.5","n/a","n/a","62.3","-73.8","n/a","n/a","66.7","-78.5","n/a","n/a"
"POINT B","45.7","-77.4","49.1","-79.8","3.4","-2.4","49.1","-82.5","3.4","-5.1","49.9","-84.1","4.2","-6.7","52.3","-88.2","6.6","-10.8","52.5","-90.5","6.8","-13.1","57.2","-94.4","11.5","-17.0"
"L I APEX","n/a","n/a","44.9","-80.6","n/a","n/a","44.9","-83.7","n/a","n/a","46.0","-84.4","n/a","n/a","49.2","-85.8","n/a","n/a","48.4","-89.8","n/a","n/a","53.0","-93.0","n/a","n/a"
"POGONION","43.1","-90.8","47.5","-91.9","4.4","-1.1","49.5","-94.8","6.5","-4.0","49.9","-97.8","6.8","-7.0","53.2","-101.1","10.2","-10.2","52.3","-107.2","9.2","-16.3","58.2","-111.6","15.1","-20.8"
"MENTON","36.7","-93.4","40.4","-95.9","3.7","-2.5","43.0","-99.7","6.4","-6.3","43.1","-102.6","6.4","-9.2","45.6","-106.8","8.9","-13.5","45.0","-110.9","8.4","-17.6","49.6","-118.1","13.0","-24.7"
"U 6 APEX","30.6","-39.2","33.3","-41.5","2.7","-2.3","32.9","-45.1","2.4","-5.9","35.4","-46.9","4.8","-7.7","35.5","-49.1","4.9","-9.9","37.4","-51.0","6.9","-11.8","38.5","-55.4","8.0","-16.2"
"U 6 CUSP","25.2","-53.1","28.2","-55.9","3.0","-2.8","28.5","-58.7","3.3","-5.6","30.1","-60.6","4.9","-7.5","30.5","-64.5","5.3","-11.4","32.0","-67.8","6.8","-14.7","35.6","-72.3","10.4","-19.2"
