"    Landmark","X3","Y3","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","64.9","0.0","65.3","0.0","0.4","0.0","65.6","0.0","0.7","0.0","66.5","0.0","1.5","0.0","67.3","0.0","2.4","0.0","68.9","0.0","4.0","0.0","69.8","0.0","4.8","0.0","72.1","0.0","7.1","0.0","75.3","0.0","10.3","0.0"
"PORION","-21.1","-5.8","-25.1","-5.1","-3.9","0.7","-23.8","-8.3","-2.7","-2.5","-26.8","-4.1","-5.6","1.8","-25.7","-5.7","-4.5","0.1","-22.6","-6.3","-1.4","-0.5","-24.9","-9.0","-3.8","-3.2","-31.5","-11.6","-10.3","-5.8","-25.7","-4.2","-4.6","1.6"
"ORBITALE","48.3","-26.8","48.3","-27.4","0.1","-0.6","48.6","-27.9","0.3","-1.1","49.3","-27.6","1.0","-0.8","50.3","-28.4","2.0","-1.6","50.0","-29.5","1.7","-2.7","53.9","-25.0","5.6","1.8","52.5","-28.6","4.2","-1.8","53.3","-28.2","5.0","-1.4"
"U I APEX","48.8","-48.4","49.7","-50.5","0.9","-2.1","48.6","-49.7","-0.2","-1.3","48.6","-53.1","-0.2","-4.7","49.3","-55.3","0.5","-6.9","47.5","-59.2","-1.3","-10.8","52.2","-56.3","3.4","-7.9","50.2","-64.5","1.4","-16.1","52.2","-66.7","3.4","-18.3"
"POINT A","53.8","-50.6","54.1","-51.8","0.3","-1.2","54.1","-54.2","0.3","-3.7","52.5","-56.2","-1.4","-5.7","53.8","-57.9","-0.1","-7.3","52.9","-60.3","-0.9","-9.8","58.6","-58.8","4.7","-8.2","55.8","-64.0","2.0","-13.4","58.1","-65.5","4.2","-14.9"
"U I EDGE","50.2","-71.0","52.4","-72.2","2.1","-1.1","51.5","-74.9","1.2","-3.8","49.5","-77.2","-0.7","-6.2","51.2","-78.5","1.0","-7.5","50.3","-83.6","0.1","-12.5","57.0","-81.6","6.8","-10.6","54.3","-89.3","4.0","-18.2","56.8","-90.9","6.6","-19.9"
"L I EDGE","46.4","-70.8","47.2","-72.0","0.8","-1.2","48.2","-72.3","1.9","-1.6","47.9","-73.6","1.6","-2.8","49.0","-74.2","2.7","-3.4","46.6","-78.1","0.3","-7.3","54.2","-76.6","7.9","-5.8","50.9","-85.0","4.6","-14.3","53.2","-86.5","6.8","-15.7"
"POINT B","38.8","-84.5","37.8","-86.2","-1.0","-1.7","38.9","-86.7","0.1","-2.1","37.4","-88.8","-1.4","-4.3","37.8","-90.3","-1.0","-5.8","35.1","-94.8","-3.6","-10.2","43.0","-94.5","4.2","-9.9","36.9","-104.0","-1.9","-19.5","39.6","-104.6","0.9","-20.0"
"L I APEX","33.5","-84.5","34.0","-85.9","0.5","-1.4","34.0","-87.4","0.6","-2.9","31.4","-88.0","-2.1","-3.5","32.6","-89.4","-0.8","-4.9","30.1","-93.8","-3.4","-9.3","37.9","-93.9","4.4","-9.4","33.9","-99.9","0.4","-15.4","36.5","-101.2","3.0","-16.7"
"POGONION","35.6","-97.3","35.8","-99.6","0.2","-2.3","37.3","-100.6","1.7","-3.2","35.1","-102.6","-0.6","-5.3","36.6","-104.7","1.0","-7.4","34.3","-110.2","-1.4","-12.8","43.0","-111.5","7.4","-14.2","36.6","-120.4","0.9","-23.1","38.7","-123.1","3.1","-25.7"
"MENTON","28.0","-98.6","28.5","-100.8","0.4","-2.2","29.7","-103.1","1.7","-4.5","27.5","-104.6","-0.5","-6.0","28.8","-105.9","0.8","-7.3","26.5","-113.4","-1.5","-14.8","35.7","-113.7","7.7","-15.0","28.1","-124.2","0.1","-25.6","31.5","-127.9","3.5","-29.3"
"U 6 APEX","28.2","-44.0","28.8","-46.1","0.6","-2.1","30.7","-48.5","2.5","-4.5","29.4","-47.1","1.2","-3.1","30.4","-50.2","2.2","-6.2","28.4","-52.0","0.3","-8.0","35.6","-55.3","7.5","-11.3","33.3","-61.6","5.2","-17.6","34.9","-65.1","6.7","-21.1"
"U 6 CUSP","21.5","-57.0","23.1","-59.2","1.5","-2.2","23.1","-61.3","1.5","-4.2","23.7","-62.6","2.1","-5.6","22.4","-63.4","0.9","-6.4","21.0","-68.2","-0.5","-11.1","30.2","-70.4","8.6","-13.4","27.9","-77.8","6.4","-20.7","31.4","-79.9","9.9","-22.9"
"L 6 CUSP","21.2","-57.9","22.6","-61.3","1.4","-3.4","22.7","-62.9","1.5","-5.1","23.2","-63.8","2.0","-6.0","22.5","-64.3","1.3","-6.5","21.4","-69.6","0.2","-11.7","27.6","-71.4","6.3","-13.5","23.8","-78.1","2.5","-20.3","27.2","-78.9","6.0","-21.0"
"L 6 APEX","13.3","-71.5","12.9","-75.4","-0.4","-3.8","13.4","-78.1","0.1","-6.5","12.3","-79.0","-0.9","-7.5","10.3","-79.3","-3.0","-7.8","8.6","-82.5","-4.7","-11.0","16.3","-85.8","3.1","-14.3","13.0","-90.9","-0.3","-19.4","18.2","-95.0","4.9","-23.5"
"GONION L","-10.9","-69.5","-12.8","-71.3","-1.9","-1.8","-13.4","-72.4","-2.5","-2.8","-13.5","-73.4","-2.7","-3.8","-16.6","-73.7","-5.7","-4.1","-18.9","-77.9","-8.1","-8.3","-17.9","-78.0","-7.1","-8.5","-25.5","-83.2","-14.6","-13.7","-20.4","-91.3","-9.6","-21.7"
"GONION U","-13.9","-66.0","-15.2","-67.4","-1.3","-1.4","-16.4","-68.2","-2.5","-2.2","-18.4","-68.0","-4.5","-2.0","-16.9","-69.3","-3.0","-3.3","-21.7","-72.6","-7.8","-6.6","-18.8","-77.1","-4.9","-11.1","-25.3","-82.0","-11.4","-15.9","-21.9","-86.1","-7.9","-20.1"
"CONDYLE","-14.9","-7.3","-16.5","-8.1","-1.5","-0.7","-14.8","-10.7","0.1","-3.3","-19.5","-8.5","-4.5","-1.2","-17.5","-11.9","-2.5","-4.6","-18.5","-11.4","-3.6","-4.1","-17.7","-12.4","-2.8","-5.1","-21.9","-13.3","-6.9","-6.0","-18.1","-15.2","-3.2","-7.9"
"PNS","11.6","-38.6","13.0","-35.3","1.4","3.3","12.2","-40.3","0.7","-1.8","11.8","-39.2","0.3","-0.6","10.1","-41.9","-1.5","-3.3","7.4","-44.3","-4.1","-5.7","12.4","-45.3","0.8","-6.8","10.0","-47.3","-1.5","-8.8","11.8","-48.6","0.3","-10.0"
"BASION","-27.8","-27.5","-26.4","-27.3","1.4","0.2","-30.2","-31.5","-2.4","-4.0","-30.0","-28.9","-2.2","-1.4","-29.4","-30.0","-1.6","-2.6","-30.2","-29.8","-2.4","-2.3","-33.8","-36.1","-6.0","-8.7","-35.4","-33.8","-7.6","-6.3","-36.4","-32.5","-8.6","-5.0"
"U_6_MCP","24.4","-55.8","26.4","-58.1","2.0","-2.3","26.7","-60.4","2.3","-4.6","26.3","-61.7","1.9","-5.9","25.9","-62.3","1.5","-6.5","24.4","-67.1","-0.0","-11.3","33.6","-69.1","9.2","-13.3","31.2","-75.9","6.9","-20.1","34.2","-78.8","9.8","-23.0"
"L_6_MCP","22.2","-61.9","23.7","-65.0","1.5","-3.1","23.9","-65.7","1.7","-3.8","23.8","-67.7","1.6","-5.8","23.3","-69.6","1.1","-7.7","21.0","-73.4","-1.2","-11.5","27.4","-75.2","5.3","-13.3","24.8","-81.8","2.6","-19.9","27.9","-84.3","5.7","-22.4"
"ANS","58.6","-47.5","59.6","-47.7","1.0","-0.1","59.2","-49.3","0.6","-1.8","57.8","-50.5","-0.8","-3.0","58.7","-50.6","0.1","-3.0","59.8","-53.5","1.2","-6.0","62.2","-50.7","3.6","-3.2","62.2","-56.8","3.6","-9.3","64.4","-57.0","5.8","-9.5"
"ARTICULAR","-19.6","-23.7","-19.5","-24.3","0.1","-0.6","-20.7","-26.2","-1.1","-2.5","-21.4","-25.7","-1.8","-2.0","-20.8","-26.4","-1.3","-2.7","-23.8","-27.6","-4.2","-3.9","-22.4","-29.4","-2.9","-5.6","-25.8","-29.8","-6.2","-6.1","-25.2","-27.8","-5.6","-4.1"
