"    Landmark","X3","Y3","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.4","0.0","68.7","0.0","1.3","0.0","68.7","0.0","1.2","0.0","69.8","0.0","2.4","0.0","71.7","0.0","4.3","0.0","72.8","0.0","5.4","0.0","73.7","0.0","6.3","0.0","74.7","0.0","7.3","0.0","76.7","0.0","9.3","0.0","75.0","0.0","7.6","0.0"
"PORION","-22.7","-11.6","-20.9","-13.2","1.8","-1.7","-20.6","-12.8","2.1","-1.3","-19.9","-17.8","2.8","-6.3","-20.6","-16.0","2.1","-4.4","-19.1","-17.8","3.6","-6.2","-21.8","-15.3","0.9","-3.8","-22.9","-17.3","-0.3","-5.7","-22.4","-19.1","0.2","-7.5","-18.9","-20.5","3.8","-8.9"
"ORBITALE","51.4","-25.6","52.7","-25.3","1.3","0.3","52.0","-26.8","0.5","-1.2","53.7","-24.5","2.2","1.1","53.5","-25.8","2.1","-0.3","54.8","-27.2","3.4","-1.6","56.9","-26.3","5.5","-0.7","57.7","-27.6","6.3","-2.0","59.0","-27.1","7.6","-1.5","58.7","-27.7","7.3","-2.1"
"U I APEX","54.1","-44.2","54.5","-49.1","0.4","-4.9","54.0","-53.0","-0.1","-8.7","56.5","-50.3","2.4","-6.0","57.4","-53.6","3.3","-9.4","57.0","-56.1","2.9","-11.9","59.1","-56.2","5.0","-12.0","60.3","-58.3","6.2","-14.1","61.9","-60.8","7.8","-16.6","61.9","-60.2","7.8","-15.9"
"POINT A","58.4","-51.5","59.0","-53.0","0.6","-1.6","59.5","-54.8","1.1","-3.3","62.2","-54.8","3.8","-3.3","61.6","-56.3","3.2","-4.9","62.2","-58.9","3.8","-7.4","63.8","-59.1","5.4","-7.6","65.5","-62.0","7.1","-10.5","67.1","-62.1","8.7","-10.6","67.7","-61.4","9.3","-9.9"
"U I EDGE","51.2","-59.4","52.2","-66.8","1.0","-7.4","55.1","-75.2","3.9","-15.8","58.5","-76.5","7.3","-17.1","57.6","-79.0","6.4","-19.6","58.2","-81.2","7.1","-21.8","60.6","-82.6","9.4","-23.2","62.8","-84.9","11.7","-25.5","66.1","-87.5","14.9","-28.1","67.3","-87.0","16.1","-27.6"
"L I EDGE","45.2","-73.3","51.0","-68.0","5.8","5.3","52.5","-68.1","7.4","5.2","55.2","-70.2","10.0","3.1","53.7","-78.0","8.6","-4.7","55.8","-74.3","10.6","-1.0","58.7","-75.7","13.5","-2.4","60.9","-85.3","15.8","-12.1","64.7","-86.5","19.6","-13.2","65.1","-83.3","19.9","-10.0"
"POINT B","47.7","-82.2","47.3","-84.0","-0.3","-1.8","48.2","-87.2","0.6","-5.1","52.0","-87.2","4.4","-5.0","49.2","-95.6","1.6","-13.4","51.0","-90.6","3.3","-8.4","53.6","-92.7","6.0","-10.5","55.0","-102.4","7.3","-20.3","58.0","-104.7","10.4","-22.5","58.9","-100.8","11.3","-18.6"
"L I APEX","42.1","-87.6","44.2","-84.3","2.1","3.3","43.5","-87.6","1.4","-0.0","46.2","-90.3","4.1","-2.7","41.6","-97.3","-0.5","-9.7","45.7","-92.9","3.6","-5.3","46.2","-97.7","4.1","-10.0","47.9","-105.2","5.8","-17.6","51.1","-107.5","9.0","-19.9","53.2","-102.6","11.1","-15.0"
"POGONION","43.3","-96.1","44.1","-96.2","0.8","-0.1","45.4","-99.3","2.1","-3.2","50.9","-99.5","7.6","-3.4","47.5","-108.2","4.2","-12.1","50.3","-105.0","7.0","-8.9","53.6","-106.3","10.3","-10.2","54.5","-116.4","11.1","-20.3","58.3","-118.7","14.9","-22.6","59.7","-116.7","16.4","-20.6"
"MENTON","37.7","-98.5","37.2","-100.6","-0.5","-2.0","38.9","-102.5","1.2","-3.9","44.4","-103.5","6.6","-4.9","40.2","-112.1","2.5","-13.6","43.2","-108.5","5.5","-10.0","46.6","-111.3","8.9","-12.7","48.7","-122.1","10.9","-23.5","51.1","-124.5","13.4","-26.0","52.4","-121.2","14.6","-22.7"
"U 6 APEX","31.0","-43.5","31.7","-46.5","0.7","-3.0","32.3","-48.7","1.3","-5.2","35.3","-49.1","4.3","-5.6","35.9","-50.4","4.9","-6.9","36.0","-54.3","4.9","-10.8","38.0","-55.5","7.0","-11.9","37.8","-56.1","6.8","-12.6","40.2","-58.3","9.2","-14.8","40.9","-57.3","9.9","-13.8"
"U 6 CUSP","25.3","-57.0","24.9","-60.3","-0.3","-3.3","27.3","-63.1","2.0","-6.1","29.9","-64.5","4.6","-7.5","28.7","-67.9","3.4","-10.9","29.9","-68.8","4.6","-11.9","31.6","-71.1","6.3","-14.1","33.1","-74.0","7.8","-17.1","37.0","-78.0","11.7","-21.0","38.5","-77.5","13.3","-20.5"
"L 6 CUSP","24.9","-60.3","25.3","-61.5","0.4","-1.2","26.4","-63.4","1.6","-3.1","29.2","-65.3","4.4","-5.0","28.5","-72.1","3.6","-11.8","29.0","-69.7","4.2","-9.3","31.3","-71.9","6.5","-11.6","35.1","-80.3","10.3","-20.0","38.0","-80.6","13.2","-20.3","38.9","-78.4","14.0","-18.0"
"L 6 APEX","17.4","-74.6","18.6","-76.1","1.2","-1.5","18.6","-80.0","1.1","-5.4","22.1","-82.4","4.7","-7.8","19.3","-89.5","1.8","-14.9","19.3","-84.9","1.9","-10.3","24.5","-90.1","7.1","-15.5","26.3","-97.9","8.8","-23.3","30.0","-101.7","12.6","-27.0","32.3","-98.4","14.9","-23.8"
"GONION L","-10.1","-71.3","-11.6","-72.9","-1.5","-1.6","-10.5","-75.0","-0.4","-3.7","-9.2","-76.8","0.9","-5.5","-13.1","-79.9","-3.0","-8.6","-10.4","-79.7","-0.3","-8.4","-8.9","-82.1","1.2","-10.8","-8.0","-89.8","2.1","-18.5","-8.2","-91.0","1.9","-19.7","-6.4","-90.1","3.7","-18.8"
"GONION U","-10.1","-68.4","-11.7","-69.9","-1.6","-1.6","-11.8","-72.4","-1.7","-4.0","-10.4","-74.3","-0.3","-6.0","-13.0","-77.8","-2.9","-9.4","-11.6","-77.5","-1.5","-9.2","-9.2","-81.6","0.9","-13.3","-8.8","-86.5","1.2","-18.1","-8.6","-90.6","1.5","-22.2","-6.8","-89.2","3.3","-20.9"
"CONDYLE","-14.9","-18.0","-14.6","-16.4","0.3","1.6","-14.3","-14.7","0.6","3.2","-15.2","-19.4","-0.3","-1.4","-14.0","-21.8","0.9","-3.8","-14.9","-20.5","-0.0","-2.5","-16.5","-18.3","-1.6","-0.3","-15.3","-21.2","-0.4","-3.2","-15.4","-25.6","-0.5","-7.6","-16.7","-24.2","-1.8","-6.2"
"PNS","17.7","-39.5","17.1","-40.9","-0.7","-1.4","15.7","-42.4","-2.1","-2.8","17.1","-43.6","-0.7","-4.1","18.3","-43.7","0.6","-4.1","16.3","-45.3","-1.5","-5.8","18.4","-45.9","0.7","-6.4","17.9","-46.3","0.2","-6.7","17.8","-48.5","0.1","-9.0","18.0","-48.2","0.3","-8.6"
"BASION","-22.1","-36.5","-24.2","-39.4","-2.1","-2.9","-24.2","-39.7","-2.1","-3.2","-22.1","-41.2","0.0","-4.7","-25.4","-40.3","-3.3","-3.8","-27.3","-39.5","-5.2","-3.0","-30.6","-39.7","-8.4","-3.2","-31.6","-42.5","-9.5","-6.0","-28.7","-44.5","-6.6","-8.0","-26.4","-42.5","-4.3","-6.0"
"U_6_MCP","28.9","-54.9","29.2","-58.7","0.3","-3.8","30.4","-61.2","1.4","-6.4","32.8","-63.5","3.8","-8.6","31.8","-65.9","2.9","-11.0","32.3","-67.3","3.4","-12.4","35.5","-69.3","6.6","-14.4","36.4","-71.4","7.5","-16.5","40.0","-75.3","11.1","-20.4","41.1","-74.0","12.2","-19.1"
"L_6_MCP","26.5","-64.2","26.8","-65.4","0.3","-1.3","27.4","-68.6","0.9","-4.4","30.4","-69.5","3.9","-5.4","29.6","-76.0","3.1","-11.8","29.5","-74.3","3.0","-10.2","32.8","-77.1","6.3","-13.0","37.3","-85.3","10.9","-21.2","40.0","-85.9","13.5","-21.7","40.2","-82.8","13.8","-18.7"
"ANS","64.0","-47.3","63.8","-50.3","-0.3","-3.0","63.8","-51.8","-0.3","-4.5","67.9","-51.7","3.8","-4.4","67.8","-52.8","3.7","-5.5","67.2","-54.9","3.2","-7.6","69.5","-56.5","5.5","-9.2","71.4","-57.5","7.3","-10.2","72.3","-59.1","8.3","-11.8","72.1","-58.6","8.0","-11.3"
"ARTICULAR","-16.6","-31.1","-18.4","-34.1","-1.9","-3.0","-17.9","-33.1","-1.4","-2.0","-16.4","-35.1","0.2","-4.0","-17.8","-34.8","-1.2","-3.7","-19.8","-34.3","-3.2","-3.2","-19.4","-33.8","-2.9","-2.7","-19.2","-36.1","-2.6","-5.0","-18.7","-41.0","-2.1","-9.9","-19.4","-37.9","-2.8","-6.9"
