"    Landmark","X1","Y1","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X9","Y9","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","60.8","0.0","62.8","0.0","2.0","0.0","64.1","0.0","3.3","0.0","63.8","0.0","3.0","0.0","64.4","0.0","3.6","0.0","65.1","0.0","4.3","0.0"
"PORION","-16.1","-5.9","-16.1","-11.1","-0.0","-5.2","-21.7","-11.7","-5.6","-5.8","-20.0","-7.8","-3.9","-1.9","-20.3","-5.4","-4.2","0.4","-17.3","-11.8","-1.2","-6.0"
"ORBITALE","48.1","-25.4","48.5","-27.9","0.4","-2.5","50.9","-26.8","2.8","-1.4","50.4","-27.6","2.3","-2.3","50.1","-26.9","2.0","-1.6","51.6","-29.4","3.5","-4.1"
"U I APEX","48.2","-43.5","49.4","-53.9","1.3","-10.5","52.7","-53.5","4.5","-10.0","51.5","-53.8","3.3","-10.3","51.7","-56.7","3.6","-13.3","51.7","-59.6","3.5","-16.1"
"POINT A","54.4","-46.7","53.3","-53.0","-1.2","-6.4","56.2","-53.2","1.7","-6.5","55.8","-54.2","1.3","-7.5","55.6","-56.5","1.2","-9.8","55.8","-58.5","1.4","-11.9"
"U I EDGE","51.3","-62.1","52.2","-74.6","1.0","-12.6","54.9","-76.0","3.7","-13.9","54.4","-78.0","3.1","-15.9","54.1","-79.8","2.9","-17.7","54.1","-83.1","2.9","-21.0"
"L I EDGE","47.3","-65.7","50.0","-69.3","2.7","-3.6","51.9","-69.6","4.6","-3.9","50.4","-71.6","3.1","-5.9","50.0","-70.7","2.7","-5.0","50.3","-74.0","3.0","-8.3"
"POINT B","41.9","-81.6","43.6","-85.7","1.7","-4.1","45.2","-86.4","3.3","-4.8","43.5","-88.0","1.6","-6.4","41.3","-87.3","-0.6","-5.7","39.6","-90.0","-2.3","-8.4"
"L I APEX","38.1","-81.8","38.9","-87.3","0.7","-5.5","41.0","-86.7","2.9","-4.9","39.3","-88.0","1.2","-6.2","36.9","-86.6","-1.3","-4.8","36.2","-87.7","-2.0","-5.9"
"POGONION","39.8","-92.4","43.6","-97.1","3.9","-4.7","45.0","-98.6","5.2","-6.2","43.2","-100.3","3.4","-7.9","41.0","-100.8","1.2","-8.4","38.4","-104.8","-1.4","-12.4"
"MENTON","33.6","-95.2","37.2","-100.7","3.6","-5.5","38.6","-102.7","5.0","-7.5","37.2","-104.4","3.6","-9.2","34.2","-105.2","0.6","-10.0","31.9","-108.3","-1.7","-13.0"
"U 6 APEX","32.4","-40.4","32.9","-47.6","0.5","-7.2","34.7","-48.0","2.4","-7.6","33.6","-49.9","1.3","-9.5","35.0","-51.3","2.6","-10.9","30.9","-51.7","-1.5","-11.4"
"U 6 CUSP","23.9","-53.6","24.8","-60.8","0.9","-7.2","28.5","-63.9","4.6","-10.3","26.3","-64.5","2.3","-10.9","24.5","-64.4","0.6","-10.8","21.6","-63.1","-2.4","-9.6"
"L 6 CUSP","24.4","-56.6","25.6","-62.1","1.2","-5.5","28.6","-64.7","4.2","-8.1","27.2","-67.1","2.8","-10.5","26.9","-66.2","2.5","-9.6","19.2","-63.9","-5.3","-7.2"
"L 6 APEX","16.4","-69.9","18.0","-74.5","1.6","-4.6","21.2","-78.9","4.8","-9.0","18.6","-80.3","2.3","-10.4","17.3","-80.6","0.9","-10.7","7.6","-73.5","-8.8","-3.5"
"GONION L","-9.3","-66.0","-10.3","-72.9","-1.0","-7.0","-13.1","-74.7","-3.8","-8.7","-13.2","-74.2","-3.8","-8.2","-15.3","-73.2","-6.0","-7.2","-14.3","-77.8","-5.0","-11.8"
"GONION U","-9.3","-65.1","-10.4","-70.8","-1.2","-5.7","-9.5","-68.0","-0.3","-2.8","-12.3","-70.8","-3.0","-5.7","-14.7","-71.9","-5.5","-6.8","-12.8","-75.3","-3.6","-10.2"
"CONDYLE","-8.7","-10.1","-9.5","-16.0","-0.8","-5.9","-12.2","-15.8","-3.5","-5.6","-11.0","-14.3","-2.3","-4.1","-13.4","-12.1","-4.7","-2.0","-11.5","-14.7","-2.8","-4.5"
"PNS","14.8","-36.1","12.8","-37.9","-2.0","-1.8","14.9","-38.5","0.2","-2.5","15.4","-40.8","0.7","-4.7","14.5","-41.4","-0.2","-5.4","13.9","-43.2","-0.8","-7.1"
"BASION","-24.2","-33.3","-26.2","-34.8","-2.0","-1.4","-28.1","-37.4","-3.9","-4.1","-28.3","-33.9","-4.1","-0.5","-29.1","-36.0","-4.9","-2.7","-30.6","-40.9","-6.4","-7.6"
"U_6_MCP","28.0","-52.1","28.2","-59.9","0.3","-7.8","31.2","-62.3","3.2","-10.2","29.9","-62.7","1.9","-10.6","29.4","-63.4","1.4","-11.3","25.1","-62.9","-2.9","-10.8"
"L_6_MCP","24.8","-61.0","27.1","-67.4","2.3","-6.4","29.5","-69.0","4.6","-8.0","29.3","-70.7","4.4","-9.7","27.8","-71.3","2.9","-10.3","18.7","-67.2","-6.1","-6.2"
"ANS","60.3","-44.7","59.6","-49.9","-0.8","-5.2","61.5","-50.4","1.2","-5.7","61.3","-51.8","1.0","-7.1","61.1","-52.9","0.8","-8.3","61.8","-54.6","1.5","-9.9"
"ARTICULAR","-15.2","-27.5","-15.0","-29.5","0.2","-2.0","-18.4","-32.6","-3.2","-5.0","-16.5","-28.6","-1.3","-1.1","-20.3","-31.3","-5.1","-3.8","-21.7","-35.8","-6.5","-8.3"
