"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X14","Y14","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","64.0","0.0","64.1","0.0","0.1","0.0","65.2","0.0","1.2","0.0","65.7","0.0","1.7","0.0","66.6","0.0","2.6","0.0","68.4","0.0","4.4","0.0","69.1","0.0","5.1","0.0","69.3","0.0","5.3","0.0","69.4","0.0","5.4","0.0"
"PORION","-16.5","-16.0","-15.8","-19.6","0.7","-3.6","-17.9","-15.9","-1.3","0.1","-16.8","-19.9","-0.2","-3.9","-17.3","-18.8","-0.8","-2.8","-19.6","-18.6","-3.1","-2.6","-19.2","-18.4","-2.7","-2.4","-20.9","-17.9","-4.4","-1.9","-21.7","-19.4","-5.2","-3.4"
"ORBITALE","52.8","-20.8","53.0","-21.4","0.2","-0.7","52.7","-22.7","-0.2","-1.9","53.3","-23.7","0.4","-2.9","54.1","-24.4","1.3","-3.6","55.5","-22.8","2.6","-2.0","57.2","-21.8","4.3","-1.1","55.5","-24.2","2.7","-3.4","56.8","-23.4","3.9","-2.6"
"U I APEX","59.8","-46.8","55.8","-43.8","-3.9","2.9","56.4","-46.6","-3.4","0.1","56.8","-48.7","-3.0","-1.9","59.1","-52.7","-0.6","-6.0","62.1","-52.9","2.4","-6.2","63.7","-49.5","4.0","-2.8","60.8","-54.2","1.1","-7.5","61.1","-55.4","1.3","-8.7"
"POINT A","62.3","-45.1","62.2","-46.8","-0.1","-1.7","61.8","-48.8","-0.5","-3.7","61.7","-50.2","-0.6","-5.1","63.7","-52.9","1.4","-7.7","66.3","-53.2","4.1","-8.0","68.2","-50.2","5.9","-5.1","65.5","-55.3","3.2","-10.2","65.3","-53.9","3.0","-8.8"
"U I EDGE","60.0","-65.1","60.7","-67.4","0.7","-2.3","59.4","-70.5","-0.6","-5.4","59.5","-72.3","-0.4","-7.2","60.9","-75.3","0.9","-10.3","62.4","-76.0","2.4","-11.0","66.1","-74.8","6.1","-9.7","62.7","-79.3","2.8","-14.3","62.7","-79.2","2.7","-14.1"
"L I EDGE","57.1","-62.1","57.2","-66.7","0.1","-4.6","57.3","-64.3","0.2","-2.2","57.2","-66.8","0.1","-4.7","58.4","-67.4","1.3","-5.3","60.2","-69.2","3.1","-7.1","63.2","-67.4","6.1","-5.3","61.2","-70.9","4.1","-8.8","60.5","-71.1","3.4","-9.0"
"POINT B","52.1","-75.1","50.4","-78.5","-1.7","-3.5","50.3","-78.1","-1.8","-3.0","49.8","-80.0","-2.3","-4.9","51.3","-80.9","-0.7","-5.8","52.1","-85.2","0.0","-10.1","55.4","-83.5","3.4","-8.5","51.8","-85.1","-0.3","-10.0","51.2","-84.7","-0.8","-9.7"
"L I APEX","45.2","-80.0","42.6","-79.5","-2.6","0.5","42.7","-78.4","-2.5","1.6","42.0","-81.2","-3.2","-1.2","43.2","-83.8","-2.0","-3.9","44.7","-86.3","-0.5","-6.3","49.3","-83.7","4.1","-3.7","43.3","-88.0","-1.9","-8.1","45.1","-85.5","-0.1","-5.5"
"POGONION","48.2","-89.2","47.2","-93.9","-1.0","-4.7","47.9","-92.8","-0.3","-3.5","47.4","-95.4","-0.9","-6.2","49.1","-97.5","0.9","-8.3","51.4","-98.8","3.1","-9.6","56.0","-96.9","7.7","-7.7","51.2","-100.7","2.9","-11.5","50.6","-100.9","2.3","-11.7"
"MENTON","42.2","-92.5","40.4","-96.6","-1.8","-4.1","41.8","-95.7","-0.4","-3.2","41.1","-97.7","-1.1","-5.2","42.3","-101.5","0.1","-9.0","44.3","-103.1","2.1","-10.6","49.4","-101.7","7.1","-9.2","44.2","-106.1","1.9","-13.6","44.5","-106.0","2.3","-13.6"
