"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY","X15","Y15","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.4","0.0","68.8","0.0","1.4","0.0","69.2","0.0","1.8","0.0","69.0","0.0","1.6","0.0","67.3","0.0","-0.1","0.0","69.3","0.0","1.8","0.0","69.8","0.0","2.4","0.0","70.1","0.0","2.7","0.0","70.3","0.0","2.9","0.0","71.8","0.0","4.3","0.0"
"PORION","-19.0","-16.1","-24.2","-11.4","-5.3","4.7","-19.4","-16.5","-0.4","-0.4","-22.6","-12.4","-3.6","3.6","-25.2","-16.2","-6.3","-0.2","-25.7","-12.5","-6.7","3.6","-24.9","-13.5","-5.9","2.6","-26.7","-14.0","-7.7","2.1","-25.1","-12.1","-6.1","4.0","-23.6","-14.9","-4.7","1.2"
"ORBITALE","53.2","-22.7","53.7","-24.1","0.5","-1.4","54.4","-23.7","1.2","-1.0","54.1","-25.3","0.9","-2.7","51.7","-28.3","-1.5","-5.6","55.7","-25.1","2.5","-2.4","54.1","-24.9","0.9","-2.2","55.0","-26.4","1.7","-3.7","54.2","-25.5","1.0","-2.8","55.4","-25.5","2.2","-2.8"
"U I APEX","54.0","-44.5","55.5","-50.0","1.5","-5.5","55.0","-51.2","1.0","-6.7","56.8","-52.4","2.8","-7.9","53.6","-58.2","-0.4","-13.7","56.7","-56.1","2.7","-11.6","58.0","-57.1","4.0","-12.7","57.1","-59.0","3.1","-14.5","59.1","-59.6","5.1","-15.2","61.3","-59.6","7.3","-15.1"
"POINT A","62.3","-49.6","61.8","-53.9","-0.5","-4.4","62.2","-54.0","-0.1","-4.4","62.8","-54.9","0.5","-5.4","59.1","-60.8","-3.1","-11.2","62.5","-55.8","0.2","-6.2","63.4","-58.0","1.1","-8.5","63.3","-58.6","1.0","-9.0","65.1","-58.7","2.8","-9.2","66.3","-58.8","4.0","-9.2"
"U I EDGE","58.1","-63.1","60.2","-72.2","2.0","-9.1","61.2","-75.1","3.1","-12.0","62.0","-76.5","3.8","-13.4","57.9","-81.3","-0.2","-18.2","62.7","-79.9","4.6","-16.8","64.0","-80.4","5.9","-17.3","63.9","-82.9","5.8","-19.8","65.2","-83.6","7.1","-20.5","66.6","-82.2","8.5","-19.1"
"L I EDGE","54.0","-69.1","55.7","-71.8","1.8","-2.7","56.5","-73.1","2.5","-4.0","56.9","-74.1","3.0","-5.0","52.5","-79.9","-1.5","-10.7","56.7","-76.7","2.8","-7.6","58.3","-77.8","4.4","-8.6","59.3","-78.8","5.3","-9.7","61.4","-80.7","7.5","-11.6","62.3","-81.5","8.3","-12.3"
"POINT B","47.0","-85.9","47.0","-89.5","-0.0","-3.6","46.2","-91.3","-0.9","-5.4","46.8","-91.8","-0.2","-5.9","41.6","-96.4","-5.4","-10.5","46.4","-95.7","-0.7","-9.8","48.4","-96.7","1.4","-10.8","47.2","-99.3","0.2","-13.4","50.7","-101.2","3.7","-15.3","51.1","-101.4","4.1","-15.5"
"L I APEX","41.8","-87.3","40.9","-89.6","-0.9","-2.3","40.8","-91.5","-1.0","-4.2","41.5","-91.7","-0.3","-4.4","36.5","-95.5","-5.3","-8.2","42.3","-94.3","0.5","-7.0","44.6","-94.2","2.8","-6.8","45.1","-96.1","3.3","-8.8","47.3","-97.3","5.5","-9.9","47.5","-99.1","5.7","-11.7"
"POGONION","42.8","-98.3","43.0","-101.8","0.2","-3.6","42.0","-104.8","-0.8","-6.5","43.4","-105.7","0.6","-7.4","36.7","-110.4","-6.1","-12.1","42.8","-110.4","-0.1","-12.1","44.9","-111.9","2.1","-13.7","45.2","-114.6","2.4","-16.3","46.1","-117.3","3.3","-19.0","47.7","-116.5","4.9","-18.2"
"MENTON","35.0","-102.4","34.5","-105.8","-0.4","-3.4","34.3","-107.7","-0.7","-5.3","34.7","-109.6","-0.2","-7.2","28.1","-114.5","-6.9","-12.1","34.2","-115.1","-0.7","-12.7","36.3","-116.6","1.4","-14.2","36.5","-119.3","1.6","-16.9","38.6","-122.0","3.7","-19.6","39.1","-122.8","4.2","-20.4"
"U 6 APEX","33.5","-43.3","34.0","-45.5","0.4","-2.3","35.9","-47.1","2.3","-3.8","36.6","-48.3","3.0","-5.1","33.6","-52.4","0.1","-9.1","36.8","-50.5","3.2","-7.2","36.2","-52.5","2.7","-9.2","36.3","-52.9","2.7","-9.7","37.8","-55.5","4.2","-12.2","38.7","-55.0","5.1","-11.8"
"U 6 CUSP","27.9","-57.3","27.7","-60.0","-0.2","-2.7","29.6","-62.7","1.7","-5.4","30.6","-64.0","2.7","-6.7","27.3","-66.9","-0.6","-9.6","30.5","-66.8","2.6","-9.6","32.1","-67.7","4.2","-10.4","32.0","-69.1","4.1","-11.9","35.2","-71.3","7.3","-14.0","36.5","-71.1","8.6","-13.9"
"L 6 CUSP","28.4","-58.4","27.2","-61.1","-1.2","-2.6","29.0","-63.8","0.6","-5.4","30.1","-63.9","1.7","-5.4","26.0","-68.0","-2.4","-9.5","29.4","-67.9","1.1","-9.5","31.0","-68.8","2.6","-10.3","32.0","-70.9","3.6","-12.4","35.3","-72.5","6.9","-14.0","37.6","-72.7","9.2","-14.2"
"L 6 APEX","20.0","-71.7","17.3","-74.7","-2.7","-3.0","19.6","-78.7","-0.4","-7.0","18.1","-78.1","-1.9","-6.4","13.4","-82.7","-6.6","-11.0","17.4","-82.2","-2.6","-10.5","20.4","-83.6","0.4","-11.9","22.0","-86.4","2.0","-14.7","23.1","-87.5","3.1","-15.8","26.0","-88.8","6.1","-17.1"
"GONION L","-9.0","-65.4","-12.6","-66.7","-3.6","-1.3","-10.5","-70.9","-1.5","-5.6","-13.3","-69.8","-4.3","-4.4","-16.5","-72.9","-7.5","-7.5","-11.4","-77.3","-2.4","-12.0","-12.5","-77.7","-3.5","-12.3","-11.9","-81.0","-2.9","-15.6","-13.2","-81.9","-4.2","-16.5","-14.4","-81.7","-5.4","-16.4"
"GONION U","-9.8","-64.8","-12.5","-66.1","-2.8","-1.4","-10.3","-68.1","-0.5","-3.3","-14.2","-67.8","-4.4","-3.0","-18.0","-69.4","-8.3","-4.6","-15.5","-70.8","-5.8","-6.1","-14.1","-72.5","-4.4","-7.7","-14.8","-77.8","-5.1","-13.0","-16.4","-75.7","-6.6","-10.9","-15.6","-76.0","-5.8","-11.2"
"CONDYLE","-12.1","-12.5","-12.7","-13.4","-0.6","-0.9","-12.1","-13.0","0.1","-0.5","-12.1","-11.3","0.1","1.1","-14.3","-12.9","-2.2","-0.4","-13.7","-10.8","-1.5","1.7","-14.3","-12.3","-2.2","0.1","-14.6","-11.5","-2.5","1.0","-14.0","-10.7","-1.9","1.7","-14.3","-11.8","-2.1","0.7"
"PNS","17.5","-40.0","16.5","-40.8","-1.0","-0.8","16.7","-41.8","-0.8","-1.8","15.3","-42.9","-2.2","-2.8","12.6","-43.7","-4.9","-3.7","16.5","-43.2","-1.0","-3.2","17.0","-45.1","-0.5","-5.0","15.0","-45.1","-2.5","-5.1","14.8","-44.8","-2.7","-4.8","16.2","-45.1","-1.3","-5.1"
