"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"POGONION","44.5","-101.9","48.8","-104.4","4.2","-2.5","51.1","-106.8","6.5","-4.9","52.2","-107.4","7.7","-5.5","53.6","-109.4","9.1","-7.6","55.6","-111.4","11.1","-9.6","55.3","-111.0","10.8","-9.1","55.4","-113.2","10.8","-11.3","59.5","-121.6","15.0","-19.7"
"MENTON","38.3","-103.7","42.3","-105.7","4.0","-2.0","44.6","-108.5","6.3","-4.8","45.6","-109.8","7.3","-6.1","46.6","-111.4","8.3","-7.7","48.8","-113.2","10.5","-9.5","48.9","-113.7","10.6","-10.0","48.4","-115.8","10.1","-12.0","51.3","-123.4","13.0","-19.7"
"U 6 APEX","37.5","-42.7","39.2","-46.2","1.7","-3.5","39.6","-48.9","2.1","-6.1","42.1","-49.1","4.5","-6.4","41.6","-50.4","4.0","-7.7","42.6","-50.1","5.1","-7.3","43.8","-52.6","6.3","-9.9","44.8","-54.9","7.3","-12.2","48.5","-60.7","11.0","-17.9"
"U 6 CUSP","31.3","-59.1","32.1","-62.9","0.8","-3.8","34.2","-63.9","2.8","-4.8","34.5","-64.4","3.2","-5.3","36.2","-67.8","4.8","-8.7","38.7","-68.8","7.4","-9.7","39.7","-71.2","8.4","-12.1","38.9","-72.5","7.6","-13.4","44.4","-78.2","13.0","-19.1"
"L 6 CUSP","32.4","-62.8","33.2","-63.8","0.8","-1.0","34.7","-65.1","2.3","-2.3","36.1","-65.9","3.7","-3.1","37.8","-70.6","5.4","-7.8","40.7","-70.3","8.3","-7.6","40.5","-71.7","8.1","-8.9","40.8","-73.7","8.4","-10.9","45.7","-78.5","13.3","-15.8"
"L 6 APEX","23.2","-79.2","24.4","-79.0","1.1","0.2","27.3","-81.4","4.0","-2.2","26.8","-82.3","3.6","-3.1","28.0","-88.1","4.8","-8.9","31.4","-89.0","8.1","-9.8","31.6","-89.9","8.3","-10.7","31.8","-92.2","8.6","-13.0","35.7","-99.3","12.5","-20.0"
"GONION L","-5.4","-75.6","-2.2","-76.3","3.2","-0.7","-1.4","-79.7","4.0","-4.1","0.0","-82.8","5.4","-7.2","-1.3","-81.8","4.1","-6.2","-1.3","-83.9","4.1","-8.3","-3.9","-84.6","1.5","-9.0","-3.5","-84.0","1.8","-8.4","-7.1","-91.6","-1.8","-16.0"
"GONION U","-4.6","-70.5","-3.4","-74.2","1.3","-3.7","-2.4","-75.2","2.3","-4.7","-2.8","-76.6","1.8","-6.1","-4.9","-76.8","-0.3","-6.3","-3.2","-78.4","1.4","-7.9","-5.2","-77.8","-0.5","-7.3","-6.9","-79.3","-2.3","-8.8","-7.1","-85.2","-2.5","-14.7"
"CONDYLE","-13.4","-16.9","-18.1","-16.0","-4.7","0.9","-13.4","-14.2","-0.1","2.7","-14.7","-21.2","-1.4","-4.3","-15.5","-19.5","-2.1","-2.6","-16.7","-19.9","-3.3","-3.0","-17.5","-19.6","-4.2","-2.7","-17.0","-20.5","-3.7","-3.6","-20.0","-19.4","-6.7","-2.5"
"PNS","19.9","-42.7","20.7","-43.0","0.8","-0.3","21.3","-49.9","1.5","-7.2","20.8","-45.6","1.0","-2.9","20.8","-46.1","1.0","-3.4","21.3","-47.4","1.4","-4.7","21.7","-48.6","1.9","-5.9","18.5","-47.6","-1.3","-4.9","19.4","-50.8","-0.5","-8.1"
"BASION","-27.1","-34.3","-27.5","-37.2","-0.4","-2.8","-26.6","-37.2","0.5","-2.9","-27.5","-39.2","-0.3","-4.9","-26.1","-35.9","1.0","-1.6","-26.9","-37.5","0.3","-3.2","-27.6","-39.1","-0.5","-4.8","-29.0","-40.7","-1.8","-6.4","-30.5","-41.9","-3.4","-7.6"
"U_6_MCP","34.8","-57.9","35.9","-60.9","1.1","-3.0","37.8","-63.0","3.0","-5.1","38.4","-63.4","3.6","-5.4","39.8","-65.4","5.0","-7.4","42.2","-66.7","7.3","-8.8","43.4","-68.9","8.5","-11.0","43.2","-70.9","8.3","-13.0","47.8","-76.5","13.0","-18.5"
"L_6_MCP","33.4","-68.1","34.5","-68.2","1.1","-0.1","36.5","-70.0","3.1","-1.8","37.4","-69.9","3.9","-1.8","39.1","-75.1","5.7","-7.0","42.3","-75.3","8.9","-7.2","41.6","-76.7","8.1","-8.6","42.5","-77.2","9.1","-9.0","47.1","-83.5","13.7","-15.4"
"ANS","68.7","-48.5","73.6","-48.5","4.9","-0.1","72.6","-55.5","3.9","-7.0","72.0","-51.4","3.3","-2.9","74.1","-52.6","5.5","-4.1","74.4","-53.4","5.7","-5.0","74.4","-55.3","5.7","-6.8","74.4","-56.1","5.7","-7.6","77.8","-60.1","9.1","-11.6"
"ARTICULAR","-16.8","-28.5","-17.8","-27.6","-1.0","0.9","-16.6","-35.3","0.2","-6.8","-17.0","-30.3","-0.2","-1.8","-17.1","-31.0","-0.3","-2.5","-18.2","-31.5","-1.4","-3.0","-18.6","-31.9","-1.8","-3.4","-20.1","-33.0","-3.4","-4.5","-20.3","-33.4","-3.5","-4.9"
