"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","69.8","0.0","71.2","0.0","1.4","0.0","73.1","0.0","3.3","0.0","73.9","0.0","4.2","0.0","74.2","0.0","4.4","0.0","75.0","0.0","5.3","0.0","76.0","0.0","6.2","0.0","75.5","0.0","5.7","0.0","80.3","0.0","10.5","0.0"
"PORION","-20.3","-18.1","-23.0","-17.0","-2.7","1.1","-20.8","-16.4","-0.5","1.7","-22.1","-23.9","-1.8","-5.8","-21.5","-16.3","-1.2","1.8","-24.3","-17.7","-4.0","0.3","-24.8","-20.7","-4.5","-2.7","-25.1","-22.5","-4.8","-4.4","-25.4","-18.5","-5.1","-0.5"
"ORBITALE","54.9","-24.2","58.6","-23.6","3.7","0.6","59.6","-24.1","4.7","0.1","59.4","-26.0","4.5","-1.8","60.8","-21.7","5.9","2.5","62.7","-24.7","7.8","-0.5","61.2","-23.8","6.4","0.4","62.5","-22.4","7.7","1.8","64.6","-22.8","9.7","1.4"
"U I APEX","56.4","-49.9","57.9","-50.0","1.5","-0.1","57.2","-55.1","0.8","-5.2","59.8","-53.8","3.4","-3.8","59.5","-54.9","3.1","-5.0","60.5","-54.7","4.1","-4.8","61.2","-55.6","4.8","-5.7","61.0","-57.3","4.6","-7.3","64.8","-62.2","8.4","-12.2"
"POINT A","63.2","-52.2","63.9","-53.4","0.7","-1.2","63.9","-57.5","0.7","-5.3","65.1","-57.3","1.9","-5.1","65.9","-58.1","2.7","-5.8","66.9","-58.7","3.7","-6.5","68.1","-58.6","4.9","-6.3","67.9","-60.4","4.7","-8.2","71.6","-64.0","8.4","-11.8"
"U I EDGE","60.2","-74.9","62.2","-76.5","2.0","-1.6","64.0","-79.6","3.8","-4.7","65.6","-80.5","5.4","-5.6","67.1","-81.5","6.9","-6.6","67.6","-82.8","7.4","-7.9","67.4","-83.6","7.3","-8.7","67.4","-84.4","7.2","-9.5","71.4","-90.1","11.2","-15.2"
"L I EDGE","56.4","-70.2","59.7","-71.8","3.2","-1.6","62.1","-73.6","5.7","-3.4","62.9","-74.7","6.5","-4.5","63.8","-76.5","7.4","-6.2","65.0","-76.7","8.6","-6.5","63.9","-77.2","7.4","-7.0","63.9","-78.0","7.5","-7.8","66.9","-83.3","10.5","-13.1"
"POINT B","48.9","-88.1","49.7","-90.8","0.8","-2.7","55.0","-91.0","6.1","-2.9","55.5","-93.0","6.7","-5.0","53.3","-98.0","4.4","-9.9","59.1","-94.5","10.2","-6.4","58.5","-95.4","9.6","-7.3","58.0","-96.1","9.1","-8.0","61.0","-104.5","12.1","-16.4"
"L I APEX","44.7","-89.7","48.8","-91.0","4.1","-1.3","50.1","-91.2","5.4","-1.5","51.3","-93.3","6.6","-3.6","53.5","-96.3","8.8","-6.6","52.8","-97.9","8.1","-8.2","52.3","-98.1","7.7","-8.4","52.4","-99.9","7.7","-10.2","56.0","-104.7","11.4","-15.0"
