"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.4","0.0","69.4","0.0","2.0","0.0","69.9","0.0","2.5","0.0","71.5","0.0","4.0","0.0","71.0","0.0","3.5","0.0","72.4","0.0","5.0","0.0","74.0","0.0","6.6","0.0","73.5","0.0","6.0","0.0","74.2","0.0","6.7","0.0"
"PORION","-18.1","-12.1","-18.5","-10.3","-0.4","1.8","-14.3","-17.7","3.8","-5.6","-17.1","-15.3","1.0","-3.2","-16.2","-14.2","1.9","-2.1","-21.4","-12.7","-3.3","-0.6","-21.9","-13.5","-3.8","-1.4","-20.9","-17.0","-2.8","-4.9","-20.2","-13.6","-2.1","-1.5"
"ORBITALE","52.8","-19.9","54.8","-19.5","2.0","0.4","54.5","-20.4","1.7","-0.5","54.6","-22.2","1.8","-2.3","55.4","-19.4","2.6","0.5","56.1","-19.8","3.3","0.1","58.2","-21.8","5.4","-1.9","57.8","-21.7","5.0","-1.8","57.9","-22.0","5.1","-2.1"
"U I APEX","54.3","-43.6","54.6","-48.8","0.3","-5.2","52.4","-49.3","-1.9","-5.7","51.0","-51.6","-3.2","-8.0","53.8","-51.1","-0.5","-7.5","52.6","-51.8","-1.7","-8.2","55.0","-55.4","0.7","-11.8","55.3","-56.3","1.1","-12.7","55.6","-56.1","1.3","-12.5"
"POINT A","58.6","-48.0","59.0","-49.8","0.4","-1.8","57.1","-52.2","-1.5","-4.2","56.0","-55.4","-2.6","-7.4","58.9","-54.5","0.3","-6.5","57.7","-57.0","-0.9","-9.1","59.4","-59.6","0.8","-11.6","60.1","-58.5","1.5","-10.5","60.3","-58.7","1.8","-10.7"
"U I EDGE","54.8","-69.5","53.0","-73.7","-1.9","-4.2","48.6","-75.4","-6.2","-6.0","47.8","-78.0","-7.1","-8.6","52.5","-77.3","-2.3","-7.8","52.5","-78.7","-2.3","-9.3","55.1","-81.6","0.3","-12.1","56.8","-82.4","1.9","-12.9","56.2","-83.2","1.3","-13.7"
"L I EDGE","44.4","-71.9","47.3","-67.6","2.9","4.3","46.2","-71.9","1.8","0.0","46.2","-74.3","1.8","-2.4","49.9","-72.4","5.5","-0.5","48.7","-72.6","4.3","-0.6","50.8","-75.6","6.4","-3.7","53.4","-76.9","9.0","-5.0","51.7","-78.8","7.3","-6.9"
"POINT B","35.1","-87.1","37.2","-85.2","2.1","1.9","35.7","-88.2","0.5","-1.0","34.5","-90.5","-0.7","-3.4","39.2","-89.0","4.0","-1.8","37.7","-89.4","2.6","-2.3","39.0","-93.1","3.9","-6.0","41.3","-94.8","6.2","-7.6","39.4","-95.4","4.3","-8.3"
"L I APEX","30.2","-87.8","31.0","-86.7","0.8","1.1","30.1","-87.4","-0.2","0.5","29.6","-89.8","-0.7","-1.9","34.2","-89.3","4.0","-1.5","33.6","-88.5","3.4","-0.7","35.6","-91.6","5.4","-3.7","37.0","-93.8","6.7","-6.0","35.6","-94.3","5.4","-6.4"
"POGONION","30.4","-99.3","32.8","-96.5","2.4","2.8","31.0","-99.4","0.6","-0.1","28.6","-103.6","-1.8","-4.2","34.0","-102.9","3.6","-3.6","32.9","-103.6","2.5","-4.3","34.1","-107.8","3.7","-8.5","36.0","-110.0","5.6","-10.6","34.3","-111.3","3.9","-11.9"
"MENTON","24.2","-100.5","26.5","-99.1","2.2","1.3","24.3","-101.9","0.0","-1.4","22.4","-104.7","-1.9","-4.3","27.9","-104.7","3.7","-4.2","26.6","-106.3","2.3","-5.8","27.9","-109.0","3.6","-8.6","29.5","-111.5","5.3","-11.0","28.0","-112.9","3.7","-12.4"
"U 6 APEX","34.2","-41.1","34.0","-42.2","-0.1","-1.1","32.5","-43.3","-1.7","-2.2","31.0","-45.3","-3.2","-4.2","34.5","-45.3","0.3","-4.2","33.4","-46.3","-0.8","-5.2","36.1","-50.6","1.9","-9.5","36.6","-50.3","2.4","-9.2","36.8","-50.9","2.6","-9.8"
"U 6 CUSP","24.1","-55.7","25.2","-56.5","1.1","-0.9","21.6","-58.2","-2.5","-2.6","20.6","-60.8","-3.5","-5.1","25.1","-61.8","1.1","-6.1","24.7","-60.7","0.7","-5.0","27.5","-65.5","3.4","-9.8","29.3","-68.1","5.2","-12.4","29.5","-69.0","5.4","-13.3"
"L 6 CUSP","22.8","-58.4","24.7","-57.6","1.9","0.8","24.2","-60.1","1.5","-1.6","23.0","-62.4","0.2","-4.0","27.6","-62.2","4.8","-3.8","26.1","-61.6","3.3","-3.2","29.1","-67.1","6.3","-8.7","30.2","-69.4","7.4","-11.0","29.4","-69.6","6.6","-11.2"
"L 6 APEX","11.6","-71.2","13.0","-71.3","1.4","-0.1","12.8","-76.1","1.2","-5.0","11.8","-79.4","0.2","-8.3","14.6","-79.0","3.0","-7.9","13.4","-78.1","1.8","-6.9","14.4","-82.0","2.8","-10.9","18.7","-85.6","7.1","-14.4","20.4","-84.8","8.8","-13.7"
"GONION L","-12.0","-62.6","-11.5","-61.3","0.5","1.3","-12.6","-64.0","-0.7","-1.4","-14.5","-65.1","-2.5","-2.5","-10.4","-67.7","1.6","-5.1","-12.0","-68.8","-0.1","-6.1","-14.4","-69.2","-2.5","-6.5","-14.2","-72.4","-2.2","-9.8","-17.1","-70.3","-5.2","-7.6"
"GONION U","-12.0","-59.8","-11.7","-60.7","0.3","-0.9","-12.2","-61.8","-0.2","-2.0","-13.4","-62.5","-1.3","-2.7","-12.2","-65.0","-0.2","-5.3","-14.6","-62.9","-2.5","-3.2","-14.2","-66.8","-2.1","-7.1","-13.4","-68.5","-1.3","-8.7","-17.0","-69.1","-5.0","-9.3"
"CONDYLE","-11.7","-13.8","-11.8","-11.3","-0.1","2.5","-10.3","-14.0","1.5","-0.1","-10.6","-11.7","1.1","2.1","-11.1","-13.3","0.6","0.6","-14.0","-12.1","-2.2","1.8","-13.8","-13.4","-2.0","0.4","-13.8","-16.8","-2.0","-3.0","-14.6","-14.7","-2.8","-0.9"
"PNS","16.0","-38.8","16.9","-39.3","0.9","-0.4","15.7","-39.7","-0.3","-0.9","14.9","-41.2","-1.1","-2.4","15.7","-41.6","-0.3","-2.7","14.7","-42.6","-1.3","-3.8","16.6","-45.1","0.6","-6.3","14.5","-45.4","-1.5","-6.6","12.6","-45.8","-3.4","-7.0"
"BASION","-25.5","-32.1","-25.1","-33.4","0.4","-1.4","-26.4","-32.4","-0.9","-0.3","-28.3","-32.9","-2.8","-0.9","-26.7","-34.6","-1.1","-2.5","-27.5","-34.8","-2.0","-2.7","-29.2","-36.4","-3.7","-4.3","-27.9","-35.4","-2.4","-3.3","-28.9","-35.5","-3.4","-3.4"
"U_6_MCP","27.7","-54.9","29.7","-56.4","2.0","-1.6","25.8","-56.3","-1.9","-1.5","25.1","-59.0","-2.6","-4.1","29.4","-59.3","1.7","-4.4","28.1","-59.7","0.4","-4.9","31.4","-64.8","3.7","-9.9","33.3","-66.6","5.6","-11.7","32.3","-67.5","4.6","-12.6"
"L_6_MCP","23.3","-61.9","24.8","-61.1","1.5","0.8","24.8","-63.1","1.5","-1.2","23.3","-66.9","0.0","-5.0","27.3","-66.5","4.0","-4.5","25.8","-66.8","2.4","-4.9","28.5","-71.1","5.2","-9.2","31.0","-73.7","7.7","-11.8","30.3","-73.5","7.0","-11.5"
"ANS","65.3","-44.0","65.3","-45.5","0.0","-1.4","64.0","-47.4","-1.3","-3.4","64.0","-50.0","-1.3","-6.0","65.7","-48.7","0.3","-4.7","66.8","-50.3","1.5","-6.3","68.0","-54.3","2.7","-10.2","67.7","-53.8","2.4","-9.7","67.9","-53.8","2.6","-9.8"
"ARTICULAR","-14.7","-25.0","-15.2","-27.0","-0.5","-1.9","-15.3","-26.3","-0.6","-1.2","-16.1","-26.2","-1.4","-1.1","-14.9","-28.4","-0.2","-3.4","-16.4","-27.9","-1.7","-2.9","-17.1","-29.7","-2.4","-4.7","-17.8","-30.0","-3.1","-5.0","-18.9","-30.2","-4.2","-5.1"
