"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"POGONION","42.6","-101.4","44.1","-104.3","1.5","-2.9","46.1","-106.5","3.5","-5.1","48.1","-108.1","5.5","-6.7","49.3","-110.0","6.7","-8.6","50.2","-111.4","7.6","-10.0","51.5","-112.6","8.9","-11.2","49.7","-115.5","7.1","-14.1","53.1","-120.7","10.5","-19.4"
"MENTON","36.7","-103.5","38.0","-106.4","1.3","-2.9","39.4","-108.9","2.6","-5.3","41.7","-110.8","5.0","-7.2","42.7","-114.6","5.9","-11.1","43.5","-115.8","6.8","-12.3","44.6","-116.7","7.9","-13.2","42.7","-119.3","6.0","-15.8","46.8","-125.4","10.1","-21.8"
"U 6 APEX","35.5","-42.3","34.1","-47.1","-1.4","-4.9","36.0","-50.4","0.5","-8.1","36.4","-51.3","0.9","-9.0","36.7","-53.5","1.2","-11.2","36.3","-54.4","0.8","-12.1","39.6","-57.5","4.1","-15.3","36.9","-59.4","1.4","-17.1","39.2","-62.1","3.7","-19.8"
"U 6 CUSP","29.8","-56.5","25.6","-62.4","-4.2","-5.8","29.2","-66.7","-0.6","-10.1","29.7","-67.7","-0.1","-11.2","26.4","-70.2","-3.4","-13.6","29.1","-71.4","-0.7","-14.9","31.2","-73.7","1.4","-17.1","28.7","-75.8","-1.1","-19.2","32.0","-80.4","2.2","-23.9"
"L 6 CUSP","24.0","-64.1","24.9","-62.8","1.0","1.4","25.9","-65.0","1.9","-0.8","27.5","-66.9","3.5","-2.7","26.2","-70.7","2.2","-6.6","27.0","-71.2","3.0","-7.1","29.5","-73.8","5.6","-9.7","28.9","-75.8","5.0","-11.6","32.0","-81.0","8.1","-16.8"
"L 6 APEX","15.8","-75.8","15.1","-78.1","-0.6","-2.4","15.0","-82.4","-0.8","-6.6","16.6","-84.5","0.8","-8.7","16.7","-88.2","1.0","-12.4","17.9","-90.3","2.1","-14.5","18.2","-90.9","2.4","-15.2","17.9","-93.5","2.1","-17.7","20.3","-100.0","4.5","-24.2"
"GONION L","-3.6","-75.9","-5.0","-76.2","-1.4","-0.3","-4.3","-79.9","-0.8","-4.0","-6.1","-78.8","-2.5","-2.9","-2.9","-85.0","0.6","-9.1","-6.4","-82.3","-2.9","-6.4","-7.6","-83.1","-4.0","-7.2","-12.4","-82.0","-8.8","-6.1","-15.4","-88.2","-11.9","-12.3"
"GONION U","-5.4","-71.6","-7.6","-74.1","-2.3","-2.4","-8.5","-75.7","-3.1","-4.1","-7.4","-77.5","-2.0","-5.8","-8.9","-79.8","-3.6","-8.2","-8.6","-80.9","-3.2","-9.2","-9.9","-81.3","-4.5","-9.7","-12.6","-82.0","-7.3","-10.3","-14.6","-87.2","-9.2","-15.5"
"CONDYLE","-12.8","-14.8","-11.9","-16.5","0.9","-1.7","-13.8","-14.0","-1.0","0.8","-15.9","-15.9","-3.2","-1.1","-14.4","-18.2","-1.7","-3.4","-16.0","-17.7","-3.2","-2.9","-14.4","-15.8","-1.6","-1.0","-17.7","-15.2","-4.9","-0.5","-20.4","-19.4","-7.7","-4.6"
"PNS","18.1","-42.1","16.9","-43.7","-1.2","-1.7","15.9","-45.4","-2.1","-3.4","16.8","-45.9","-1.2","-3.9","17.5","-47.5","-0.5","-5.5","16.4","-48.0","-1.7","-6.0","16.3","-49.1","-1.7","-7.1","14.9","-50.0","-3.1","-8.0","15.0","-53.0","-3.0","-11.0"
"BASION","-25.2","-32.8","-26.5","-33.9","-1.3","-1.1","-28.2","-35.5","-3.0","-2.7","-28.4","-35.6","-3.2","-2.8","-28.1","-37.8","-2.9","-5.0","-28.5","-38.8","-3.3","-6.0","-29.4","-39.6","-4.2","-6.8","-30.1","-38.0","-4.9","-5.2","-31.8","-42.5","-6.6","-9.7"
"U_6_MCP","33.7","-54.7","29.9","-60.8","-3.8","-6.1","32.1","-64.8","-1.6","-10.1","32.9","-66.4","-0.8","-11.7","31.5","-68.2","-2.2","-13.5","32.2","-70.1","-1.5","-15.3","34.4","-72.7","0.7","-18.0","32.2","-74.4","-1.5","-19.7","35.5","-78.4","1.8","-23.7"
"L_6_MCP","24.4","-68.5","25.0","-67.6","0.6","0.9","26.3","-70.8","1.8","-2.3","27.9","-71.5","3.5","-3.0","27.4","-75.0","3.0","-6.5","28.2","-76.0","3.8","-7.4","29.8","-78.6","5.4","-10.1","29.3","-80.4","4.9","-11.9","32.7","-85.6","8.3","-17.1"
"ANS","66.5","-48.0","65.8","-50.6","-0.7","-2.7","67.8","-53.7","1.3","-5.7","69.9","-52.6","3.4","-4.7","67.1","-55.1","0.6","-7.2","65.1","-56.6","-1.4","-8.6","67.0","-55.8","0.5","-7.8","68.4","-59.6","1.9","-11.6","70.0","-61.9","3.5","-14.0"
"ARTICULAR","-16.5","-27.0","-17.5","-27.3","-1.0","-0.3","-18.5","-28.9","-2.0","-1.9","-19.6","-30.4","-3.1","-3.4","-19.2","-31.9","-2.8","-4.9","-20.1","-32.2","-3.7","-5.2","-20.8","-33.6","-4.4","-6.6","-21.8","-33.2","-5.4","-6.2","-24.7","-35.7","-8.2","-8.7"
