"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","69.9","0.0","71.3","0.0","1.5","0.0","72.6","0.0","2.7","0.0","73.2","0.0","3.3","0.0","74.1","0.0","4.2","0.0","74.1","0.0","4.2","0.0","72.7","0.0","2.8","0.0","75.6","0.0","5.8","0.0","77.6","0.0","7.7","0.0"
"PORION","-17.2","-15.4","-19.7","-15.7","-2.5","-0.3","-20.4","-17.0","-3.3","-1.7","-24.0","-17.7","-6.8","-2.4","-22.8","-16.7","-5.6","-1.3","-24.8","-18.4","-7.6","-3.1","-23.9","-19.8","-6.7","-4.4","-25.2","-19.6","-8.0","-4.2","-28.0","-24.5","-10.8","-9.1"
"ORBITALE","52.1","-30.0","51.1","-30.6","-0.9","-0.6","52.9","-33.9","0.8","-3.9","55.8","-28.9","3.8","1.1","53.0","-34.4","0.9","-4.4","55.1","-30.6","3.0","-0.6","57.1","-30.2","5.0","-0.2","57.5","-31.3","5.4","-1.3","57.7","-35.0","5.6","-5.0"
"U I APEX","54.3","-49.1","55.6","-51.4","1.4","-2.3","55.0","-52.2","0.7","-3.1","57.8","-54.0","3.5","-4.9","56.6","-57.3","2.3","-8.2","52.9","-57.5","-1.4","-8.4","55.2","-57.5","0.9","-8.4","55.0","-61.5","0.7","-12.4","59.6","-66.2","5.3","-17.1"
"POINT A","62.1","-52.9","62.5","-55.0","0.4","-2.1","62.7","-58.7","0.6","-5.8","63.9","-59.9","1.8","-7.1","63.5","-62.6","1.3","-9.7","61.8","-63.2","-0.4","-10.3","63.2","-62.5","1.1","-9.6","63.2","-65.9","1.0","-13.0","66.6","-70.2","4.5","-17.4"
"U I EDGE","56.6","-68.6","57.7","-77.4","1.1","-8.8","59.7","-80.8","3.1","-12.2","61.4","-82.7","4.8","-14.1","62.4","-85.1","5.9","-16.5","61.8","-83.9","5.2","-15.3","60.6","-84.3","4.0","-15.7","62.4","-88.8","5.8","-20.2","65.3","-93.1","8.7","-24.5"
"L I EDGE","51.9","-71.8","54.2","-73.3","2.3","-1.5","56.2","-75.1","4.4","-3.3","57.9","-76.5","6.1","-4.7","58.7","-79.8","6.8","-8.0","57.7","-81.1","5.9","-9.4","58.3","-80.1","6.5","-8.4","59.6","-82.7","7.8","-11.0","62.3","-87.1","10.4","-15.3"
"POINT B","45.6","-88.2","47.4","-87.9","1.9","0.4","48.2","-90.0","2.7","-1.8","49.9","-91.0","4.3","-2.8","49.8","-95.6","4.2","-7.3","50.7","-97.6","5.1","-9.4","51.6","-96.1","6.0","-7.9","49.8","-100.0","4.2","-11.8","51.9","-104.0","6.4","-15.8"
"L I APEX","41.3","-88.0","41.0","-91.7","-0.3","-3.8","41.5","-93.6","0.2","-5.6","41.7","-94.0","0.4","-6.1","42.7","-96.5","1.4","-8.6","43.5","-97.9","2.2","-10.0","44.7","-97.8","3.4","-9.9","43.1","-100.4","1.8","-12.4","46.8","-103.0","5.5","-15.0"
