"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"POGONION","51.8","-94.8","48.5","-99.3","-3.2","-4.5","50.9","-101.0","-0.9","-6.2","51.3","-102.7","-0.5","-7.9","54.8","-103.7","3.0","-8.9","54.6","-104.5","2.8","-9.7","54.5","-106.5","2.8","-11.7","56.4","-109.5","4.6","-14.7","59.8","-116.9","8.1","-22.1"
"MENTON","43.9","-99.1","39.4","-103.7","-4.5","-4.6","41.2","-105.1","-2.7","-6.0","41.2","-107.3","-2.7","-8.3","44.3","-107.8","0.4","-8.7","45.0","-109.3","1.1","-10.2","44.9","-111.9","1.0","-12.8","46.7","-116.1","2.8","-17.0","50.7","-123.1","6.9","-24.0"
"U 6 APEX","32.9","-41.4","33.2","-44.3","0.3","-3.0","35.3","-47.3","2.4","-6.0","35.4","-47.8","2.4","-6.4","36.3","-49.7","3.4","-8.4","36.1","-49.1","3.2","-7.7","34.5","-53.9","1.6","-12.5","36.9","-53.6","4.0","-12.2","40.1","-57.4","7.2","-16.0"
"U 6 CUSP","26.5","-58.3","26.3","-61.0","-0.2","-2.6","28.3","-63.0","1.8","-4.7","29.0","-65.8","2.5","-7.5","31.8","-67.5","5.3","-9.2","30.0","-66.4","3.4","-8.1","30.9","-70.7","4.4","-12.4","31.9","-70.7","5.4","-12.4","36.4","-75.9","9.8","-17.6"
"L 6 CUSP","28.4","-60.7","27.1","-63.5","-1.3","-2.8","28.3","-64.2","-0.1","-3.6","29.2","-67.0","0.8","-6.4","32.0","-67.5","3.6","-6.8","30.8","-67.2","2.4","-6.5","32.1","-73.2","3.7","-12.5","33.9","-72.2","5.5","-11.6","38.6","-76.8","10.2","-16.1"
"L 6 APEX","21.5","-76.5","17.9","-79.0","-3.5","-2.6","20.4","-82.6","-1.1","-6.2","21.8","-85.5","0.3","-9.0","22.1","-88.2","0.7","-11.7","21.8","-86.2","0.3","-9.8","21.3","-92.8","-0.2","-16.4","22.4","-93.0","0.9","-16.5","28.4","-98.4","6.9","-21.9"
"GONION L","-7.0","-77.1","-9.2","-78.8","-2.2","-1.7","-11.0","-80.6","-4.0","-3.5","-11.0","-83.9","-4.1","-6.8","-8.8","-84.8","-1.8","-7.7","-12.4","-86.3","-5.4","-9.3","-11.5","-88.5","-4.6","-11.4","-10.3","-91.7","-3.4","-14.6","-10.2","-99.6","-3.2","-22.6"
"GONION U","-5.8","-73.7","-10.9","-74.3","-5.1","-0.6","-11.4","-77.3","-5.6","-3.6","-10.9","-79.3","-5.1","-5.6","-11.7","-80.6","-5.9","-6.9","-11.8","-81.2","-6.0","-7.5","-12.1","-84.3","-6.3","-10.7","-11.3","-88.1","-5.5","-14.4","-11.4","-92.0","-5.6","-18.3"
"CONDYLE","-18.4","-14.2","-17.7","-14.8","0.7","-0.6","-17.2","-16.5","1.2","-2.3","-18.5","-14.8","-0.1","-0.6","-18.4","-16.4","-0.0","-2.2","-19.7","-18.8","-1.3","-4.6","-19.9","-17.0","-1.5","-2.8","-21.3","-19.1","-3.0","-5.0","-19.1","-16.8","-0.7","-2.6"
"PNS","14.7","-40.1","15.2","-40.3","0.5","-0.2","14.4","-42.1","-0.3","-2.0","13.9","-43.5","-0.8","-3.4","14.4","-44.2","-0.3","-4.2","12.4","-44.1","-2.3","-4.0","12.9","-44.5","-1.7","-4.4","13.1","-47.4","-1.6","-7.3","14.2","-48.3","-0.4","-8.2"
"BASION","-29.2","-31.5","-28.4","-30.0","0.8","1.6","-29.8","-31.8","-0.5","-0.3","-29.4","-33.2","-0.2","-1.7","-30.2","-34.3","-1.0","-2.7","-30.2","-34.5","-1.0","-3.0","-31.2","-35.3","-2.0","-3.8","-32.0","-34.8","-2.8","-3.3","-32.4","-36.8","-3.2","-5.3"
"U_6_MCP","31.1","-55.6","30.5","-57.8","-0.6","-2.2","32.7","-60.5","1.6","-4.8","32.9","-63.6","1.8","-8.0","34.8","-64.6","3.8","-9.0","33.1","-64.8","2.0","-9.2","34.1","-68.9","3.0","-13.3","35.3","-69.6","4.2","-13.9","40.1","-73.5","9.0","-17.9"
"L_6_MCP","30.4","-64.8","27.4","-67.0","-3.0","-2.3","30.2","-67.5","-0.2","-2.7","31.0","-72.0","0.6","-7.2","33.1","-71.3","2.7","-6.5","32.0","-71.0","1.6","-6.3","33.5","-77.5","3.1","-12.7","34.1","-76.3","3.7","-11.6","39.1","-80.3","8.7","-15.6"
"ANS","68.2","-48.5","69.1","-49.4","0.9","-1.0","69.8","-51.2","1.6","-2.8","69.6","-52.6","1.4","-4.1","71.0","-54.0","2.8","-5.5","70.6","-55.5","2.3","-7.0","69.9","-55.8","1.7","-7.3","74.3","-57.9","6.1","-9.5","79.0","-60.8","10.8","-12.3"
"ARTICULAR","-20.4","-26.1","-20.6","-25.9","-0.1","0.3","-20.6","-26.8","-0.2","-0.7","-22.4","-28.0","-2.0","-1.9","-22.7","-29.5","-2.3","-3.3","-23.8","-29.6","-3.4","-3.5","-24.8","-30.0","-4.4","-3.9","-25.0","-31.3","-4.6","-5.2","-23.3","-31.2","-2.9","-5.1"
