"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","74.8","0.0","75.9","0.0","1.1","0.0","77.1","0.0","2.3","0.0","77.4","0.0","2.7","0.0","78.5","0.0","3.7","0.0","79.3","0.0","4.6","0.0","79.5","0.0","4.7","0.0","82.0","0.0","7.2","0.0","86.2","0.0","11.4","0.0"
"PORION","-21.9","-15.8","-20.8","-16.4","1.1","-0.7","-21.0","-17.5","0.9","-1.7","-22.7","-18.7","-0.8","-2.9","-23.3","-18.8","-1.4","-3.0","-26.3","-19.6","-4.4","-3.8","-26.7","-18.7","-4.8","-2.9","-26.8","-20.0","-4.8","-4.2","-25.4","-19.4","-3.5","-3.6"
"ORBITALE","52.6","-27.8","54.4","-27.4","1.9","0.4","53.9","-29.5","1.3","-1.7","55.1","-30.3","2.5","-2.5","56.4","-28.5","3.8","-0.7","57.9","-27.2","5.3","0.6","59.2","-27.3","6.7","0.5","61.1","-27.9","8.6","-0.1","63.5","-31.3","11.0","-3.5"
"U I APEX","56.8","-45.2","56.8","-47.3","0.0","-2.1","56.2","-50.8","-0.6","-5.6","56.0","-51.4","-0.8","-6.2","56.8","-52.6","0.0","-7.4","57.8","-53.6","1.0","-8.5","57.8","-54.9","1.0","-9.7","59.8","-56.7","3.0","-11.6","63.8","-59.7","7.0","-14.6"
"POINT A","62.8","-53.4","63.4","-54.6","0.6","-1.2","63.8","-56.2","1.0","-2.8","64.3","-57.4","1.5","-4.0","65.8","-58.7","3.1","-5.3","66.0","-60.3","3.3","-6.9","65.1","-61.9","2.4","-8.5","68.4","-62.8","5.6","-9.4","71.9","-65.5","9.2","-12.1"
"U I EDGE","59.9","-69.3","60.7","-73.9","0.8","-4.6","62.8","-76.8","2.9","-7.5","63.4","-79.3","3.5","-10.0","65.4","-79.7","5.5","-10.4","65.0","-81.2","5.1","-11.9","63.0","-82.4","3.1","-13.1","66.0","-85.0","6.1","-15.7","69.8","-88.9","9.9","-19.6"
"L I EDGE","57.3","-66.4","55.9","-70.5","-1.5","-4.1","57.7","-70.4","0.4","-4.1","57.7","-73.7","0.3","-7.3","60.8","-71.6","3.5","-5.3","60.4","-74.2","3.0","-7.8","59.8","-74.4","2.4","-8.0","62.7","-76.9","5.4","-10.5","66.4","-81.5","9.1","-15.1"
"POINT B","52.1","-82.8","49.4","-84.9","-2.7","-2.1","51.3","-85.1","-0.9","-2.3","51.1","-88.8","-1.0","-6.0","53.8","-88.2","1.7","-5.5","53.9","-88.5","1.8","-5.8","53.6","-91.9","1.5","-9.1","55.4","-93.7","3.3","-10.9","54.8","-100.6","2.6","-17.8"
"L I APEX","45.1","-87.1","40.1","-89.8","-5.0","-2.7","42.5","-89.6","-2.6","-2.5","41.9","-93.0","-3.2","-5.9","47.2","-92.0","2.2","-4.9","43.2","-94.2","-1.9","-7.1","44.8","-94.5","-0.3","-7.4","46.4","-96.9","1.3","-9.8","50.0","-101.0","4.9","-13.9"
