"    Landmark","X5","Y5","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY","X13","Y13","dX","dY","X15","Y15","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","61.2","0.0","61.7","0.0","0.5","0.0","63.5","0.0","2.3","0.0","65.2","0.0","4.1","0.0","65.7","0.0","4.5","0.0","65.8","0.0","4.6","0.0","67.1","0.0","6.0","0.0","68.0","0.0","6.9","0.0","71.7","0.0","10.6","0.0","72.7","0.0","11.5","0.0"
"PORION","-25.3","-13.8","-27.6","-13.7","-2.3","0.2","-26.8","-14.2","-1.5","-0.3","-29.9","-13.5","-4.6","0.3","-28.9","-14.6","-3.6","-0.8","-32.3","-19.7","-7.0","-5.8","-31.3","-18.1","-5.9","-4.3","-33.3","-21.4","-8.0","-7.5","-35.1","-25.6","-9.8","-11.7","-34.6","-27.8","-9.3","-14.0"
"ORBITALE","46.4","-29.6","47.5","-30.8","1.1","-1.2","47.7","-31.9","1.2","-2.3","48.7","-31.6","2.3","-2.0","46.9","-33.3","0.4","-3.7","48.0","-32.3","1.5","-2.8","51.1","-31.0","4.7","-1.4","52.1","-31.7","5.6","-2.1","54.7","-33.4","8.3","-3.8","54.6","-33.4","8.2","-3.8"
"U I APEX","46.5","-60.2","45.2","-52.1","-1.2","8.1","44.4","-54.5","-2.0","5.6","46.8","-56.5","0.4","3.7","44.1","-57.7","-2.3","2.4","45.6","-58.8","-0.9","1.3","48.6","-59.5","2.1","0.7","50.4","-63.4","4.0","-3.2","52.9","-66.6","6.5","-6.5","54.1","-67.0","7.6","-6.8"
"POINT A","52.2","-52.6","50.1","-54.9","-2.1","-2.3","49.8","-56.7","-2.4","-4.0","50.9","-57.2","-1.2","-4.5","48.7","-60.4","-3.5","-7.8","50.8","-60.5","-1.4","-7.8","53.0","-60.9","0.8","-8.3","55.3","-62.3","3.1","-9.7","57.9","-66.1","5.8","-13.5","58.8","-66.6","6.6","-13.9"
"U I EDGE","45.9","-71.7","43.9","-76.0","-2.1","-4.4","44.2","-79.9","-1.8","-8.3","46.6","-81.4","0.7","-9.7","43.1","-85.2","-2.8","-13.5","45.9","-85.6","-0.0","-13.9","50.0","-85.5","4.1","-13.8","52.8","-88.2","6.9","-16.5","57.1","-92.9","11.2","-21.2","58.1","-93.7","12.1","-22.0"
"L I EDGE","41.0","-72.2","39.5","-74.5","-1.5","-2.3","39.7","-76.0","-1.4","-3.7","43.2","-77.4","2.2","-5.2","41.7","-81.4","0.6","-9.2","44.6","-80.6","3.6","-8.3","46.3","-80.3","5.3","-8.1","49.6","-83.2","8.5","-11.0","54.9","-88.3","13.8","-16.1","55.5","-89.1","14.5","-16.9"
"POINT B","36.0","-86.9","33.1","-89.6","-3.0","-2.8","32.0","-92.0","-4.1","-5.2","34.7","-95.7","-1.4","-8.9","32.1","-98.4","-4.0","-11.6","37.5","-97.4","1.4","-10.6","40.1","-97.4","4.1","-10.6","42.5","-100.5","6.5","-13.6","48.3","-106.1","12.3","-19.2","50.1","-107.5","14.0","-20.6"
"L I APEX","30.4","-90.2","27.0","-92.7","-3.4","-2.5","26.6","-95.5","-3.8","-5.3","29.6","-97.3","-0.8","-7.0","24.0","-101.7","-6.4","-11.5","31.1","-99.8","0.7","-9.6","33.7","-100.1","3.3","-9.9","36.7","-102.6","6.4","-12.4","43.1","-107.4","12.7","-17.2","46.0","-107.9","15.6","-17.7"
"POGONION","32.4","-101.7","30.4","-104.9","-2.0","-3.2","29.3","-107.7","-3.1","-6.0","33.0","-109.7","0.6","-8.0","28.9","-114.9","-3.4","-13.2","35.4","-114.2","3.0","-12.5","39.5","-114.6","7.1","-12.9","42.3","-119.3","9.9","-17.6","49.1","-126.7","16.7","-25.0","51.7","-128.1","19.3","-26.4"
"MENTON","26.1","-103.0","24.1","-107.0","-2.0","-4.1","22.9","-110.0","-3.2","-7.0","26.0","-112.3","-0.2","-9.4","22.8","-116.2","-3.4","-13.2","28.8","-117.0","2.7","-14.0","32.5","-116.8","6.4","-13.8","35.4","-121.6","9.3","-18.6","42.0","-130.0","15.8","-27.0","44.7","-131.6","18.6","-28.6"
"U 6 APEX","29.3","-47.4","27.1","-49.6","-2.2","-2.2","29.1","-50.2","-0.2","-2.8","30.0","-51.2","0.7","-3.8","30.3","-54.3","1.0","-6.9","32.1","-55.2","2.8","-7.8","32.4","-55.7","3.1","-8.3","33.6","-57.7","4.3","-10.3","37.2","-66.0","7.9","-18.6","35.0","-61.8","5.8","-14.4"
