"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","72.0","0.0","72.7","0.0","0.7","0.0","73.2","0.0","1.2","0.0","75.0","0.0","2.9","0.0","75.5","0.0","3.5","0.0","75.7","0.0","3.7","0.0","75.9","0.0","3.9","0.0","76.0","0.0","4.0","0.0"
"PORION","-18.4","-16.3","-16.4","-21.4","2.0","-5.1","-20.0","-20.4","-1.6","-4.2","-22.8","-18.5","-4.4","-2.2","-21.8","-25.1","-3.3","-8.8","-22.3","-24.5","-3.9","-8.2","-21.3","-23.2","-2.9","-6.9","-21.7","-22.8","-3.3","-6.6"
"ORBITALE","58.3","-21.4","58.2","-22.7","-0.1","-1.3","60.6","-24.5","2.3","-3.1","60.0","-26.4","1.7","-5.0","61.7","-25.9","3.4","-4.5","62.5","-24.8","4.2","-3.4","62.7","-24.7","4.4","-3.3","62.1","-25.7","3.8","-4.3"
"U I APEX","n/a","n/a","60.6","-53.9","n/a","n/a","60.4","-54.4","n/a","n/a","62.3","-59.8","n/a","n/a","64.1","-62.0","n/a","n/a","66.5","-59.2","n/a","n/a","65.2","-59.6","n/a","n/a","65.5","-59.4","n/a","n/a"
"POINT A","63.7","-45.4","65.9","-55.0","2.2","-9.6","66.0","-55.7","2.3","-10.4","66.0","-60.1","2.2","-14.8","67.9","-60.7","4.2","-15.4","69.9","-60.0","6.2","-14.7","69.5","-60.6","5.8","-15.2","69.0","-60.4","5.3","-15.1"
"U I EDGE","n/a","n/a","68.2","-76.8","n/a","n/a","67.7","-78.9","n/a","n/a","66.7","-83.2","n/a","n/a","69.9","-84.5","n/a","n/a","72.1","-84.7","n/a","n/a","71.6","-85.3","n/a","n/a","71.1","-86.0","n/a","n/a"
"L I EDGE","58.2","-67.8","64.0","-70.6","5.8","-2.8","63.5","-71.7","5.3","-3.9","63.9","-78.7","5.7","-10.9","66.9","-80.3","8.7","-12.5","69.1","-80.0","10.9","-12.2","68.5","-81.3","10.2","-13.5","67.4","-82.0","9.2","-14.2"
"POINT B","50.5","-87.7","55.1","-89.8","4.6","-2.1","54.3","-92.3","3.7","-4.6","53.8","-99.1","3.2","-11.5","56.9","-101.1","6.3","-13.4","59.4","-101.0","8.8","-13.3","57.8","-102.3","7.3","-14.6","56.7","-102.4","6.2","-14.7"
"L I APEX","45.3","-88.0","49.0","-89.1","3.7","-1.1","48.4","-90.0","3.1","-2.0","45.4","-100.1","0.1","-12.1","49.7","-99.4","4.4","-11.4","50.6","-100.7","5.3","-12.7","50.7","-100.0","5.5","-12.0","48.6","-101.2","3.4","-13.2"
"POGONION","50.0","-92.8","54.7","-96.6","4.7","-3.8","53.6","-99.0","3.6","-6.3","53.3","-106.7","3.2","-14.0","56.6","-108.3","6.6","-15.5","58.9","-109.1","8.9","-16.3","57.8","-110.8","7.7","-18.0","56.0","-110.8","6.0","-18.1"
"MENTON","40.7","-100.3","46.2","-105.1","5.5","-4.9","45.9","-106.0","5.2","-5.8","45.0","-114.6","4.4","-14.3","48.2","-117.2","7.5","-17.0","50.9","-118.9","10.2","-18.7","49.1","-119.5","8.4","-19.2","48.0","-120.7","7.3","-20.4"
"U 6 APEX","36.4","-41.5","39.9","-45.7","3.5","-4.2","39.8","-48.3","3.4","-6.8","41.0","-52.0","4.6","-10.6","42.3","-54.8","5.9","-13.3","43.7","-53.1","7.3","-11.6","44.1","-55.6","7.7","-14.1","43.1","-56.7","6.7","-15.3"
"U 6 CUSP","32.0","-58.8","34.1","-64.1","2.1","-5.3","33.6","-65.7","1.6","-6.8","33.9","-71.5","1.9","-12.6","36.9","-73.1","4.9","-14.2","40.6","-74.4","8.6","-15.5","39.9","-74.6","7.9","-15.8","38.8","-75.7","6.8","-16.8"
"L 6 CUSP","32.0","-61.0","35.2","-64.6","3.3","-3.6","35.6","-66.7","3.6","-5.7","36.6","-73.8","4.7","-12.9","39.9","-76.0","7.9","-15.1","42.1","-75.7","10.1","-14.7","41.4","-76.3","9.4","-15.4","40.5","-77.0","8.5","-16.1"
"L 6 APEX","21.3","-77.4","23.0","-83.6","1.7","-6.2","23.6","-85.3","2.3","-7.9","21.7","-90.4","0.5","-13.1","26.8","-94.7","5.6","-17.4","31.6","-93.6","10.3","-16.3","30.6","-94.3","9.4","-17.0","31.1","-96.1","9.9","-18.8"
"GONION L","-1.6","-74.4","-0.8","-79.9","0.8","-5.5","-1.0","-81.9","0.6","-7.5","-4.7","-89.9","-3.1","-15.5","1.0","-93.0","2.5","-18.6","-0.9","-93.1","0.7","-18.7","-1.7","-93.8","-0.1","-19.4","-3.0","-94.2","-1.4","-19.8"
"GONION U","-1.9","-71.8","-1.6","-76.9","0.3","-5.1","-4.1","-76.9","-2.3","-5.0","-6.5","-82.9","-4.6","-11.1","-3.1","-89.2","-1.3","-17.4","-4.2","-89.3","-2.4","-17.5","-3.8","-90.4","-1.9","-18.5","-6.2","-90.7","-4.3","-18.8"
"CONDYLE","-14.7","-14.6","-12.3","-20.7","2.4","-6.1","-16.1","-18.7","-1.4","-4.0","-16.9","-19.4","-2.2","-4.8","-18.4","-19.5","-3.8","-4.9","-18.0","-21.9","-3.3","-7.3","-17.4","-19.5","-2.8","-4.8","-19.0","-20.4","-4.3","-5.8"
"PNS","19.1","-41.2","20.9","-45.2","1.9","-4.0","19.9","-46.1","0.8","-5.0","16.6","-49.1","-2.5","-7.9","17.6","-51.0","-1.5","-9.8","16.6","-52.1","-2.5","-10.9","16.0","-52.3","-3.1","-11.1","14.9","-53.4","-4.1","-12.2"
"BASION","-27.6","-31.0","-30.5","-36.0","-2.9","-5.0","-30.0","-34.1","-2.5","-3.1","-31.3","-36.1","-3.8","-5.1","-35.9","-40.4","-8.3","-9.4","-32.8","-40.4","-5.2","-9.4","-32.1","-39.0","-4.6","-8.1","-33.1","-41.4","-5.5","-10.4"
"MID GONION","-1.7","-73.1","-1.2","-78.4","0.5","-5.3","-2.5","-79.4","-0.8","-6.3","-5.6","-86.4","-3.9","-13.3","-1.1","-91.1","0.6","-18.0","-2.5","-91.2","-0.8","-18.1","-2.7","-92.1","-1.0","-19.0","-4.6","-92.4","-2.9","-19.3"
"ANS","66.0","-43.7","67.6","-50.4","1.6","-6.7","68.7","-53.8","2.7","-10.1","67.8","-56.9","1.8","-13.2","70.6","-57.8","4.6","-14.1","72.2","-57.0","6.2","-13.3","72.5","-57.7","6.5","-14.0","71.7","-58.4","5.7","-14.7"
"ARTICULAR","-14.7","-25.7","-14.8","-28.7","-0.1","-3.0","-16.7","-28.4","-2.0","-2.7","-18.9","-30.8","-4.2","-5.1","-19.4","-33.1","-4.8","-7.4","-17.0","-31.7","-2.3","-6.0","-17.7","-32.2","-3.0","-6.5","-17.8","-32.4","-3.1","-6.7"
