"    Landmark","X2","Y2","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","73.6","0.0","74.6","0.0","1.0","0.0","75.0","0.0","1.3","0.0","75.6","0.0","2.0","0.0","76.0","0.0","2.3","0.0","77.0","0.0","3.4","0.0","77.9","0.0","4.3","0.0","78.5","0.0","4.9","0.0"
"PORION","-21.9","-15.2","-25.5","-10.7","-3.6","4.5","-25.8","-10.5","-3.9","4.7","-25.5","-12.3","-3.5","2.9","-24.1","-14.3","-2.1","0.9","-26.8","-15.7","-4.9","-0.5","-29.5","-15.1","-7.5","0.1","-31.8","-13.3","-9.8","1.9"
"ORBITALE","56.0","-27.3","54.3","-24.6","-1.7","2.8","51.1","-25.8","-4.9","1.5","49.8","-28.2","-6.3","-0.9","53.0","-25.5","-3.0","1.8","51.7","-27.9","-4.4","-0.6","56.5","-29.1","0.5","-1.8","56.7","-29.2","0.7","-1.9"
"U I APEX","59.9","-49.6","57.8","-54.5","-2.1","-4.9","57.4","-55.4","-2.5","-5.8","56.8","-55.1","-3.1","-5.5","61.7","-53.9","1.8","-4.3","61.1","-58.3","1.2","-8.7","64.0","-60.3","4.1","-10.6","63.4","-60.9","3.5","-11.2"
"POINT A","63.9","-53.1","63.0","-55.0","-0.9","-1.8","62.0","-56.5","-1.9","-3.4","62.3","-56.9","-1.6","-3.7","65.3","-56.0","1.4","-2.9","64.7","-57.1","0.8","-4.0","66.9","-59.0","3.0","-5.8","67.5","-61.5","3.6","-8.4"
"U I EDGE","59.7","-77.0","58.6","-78.4","-1.1","-1.4","57.5","-79.9","-2.2","-2.9","59.1","-81.8","-0.6","-4.7","61.8","-82.1","2.1","-5.1","61.5","-84.5","1.8","-7.5","64.8","-85.7","5.1","-8.7","63.4","-86.3","3.7","-9.3"
"L I EDGE","55.5","-70.9","54.7","-75.6","-0.8","-4.7","53.5","-74.2","-2.0","-3.3","55.0","-76.4","-0.6","-5.4","58.1","-77.9","2.6","-6.9","56.5","-79.2","0.9","-8.2","60.9","-82.6","5.4","-11.7","60.7","-83.7","5.1","-12.8"
"POINT B","47.3","-90.4","45.7","-94.3","-1.6","-3.9","45.0","-93.2","-2.3","-2.7","46.6","-95.7","-0.7","-5.3","48.9","-96.9","1.6","-6.5","49.5","-99.7","2.3","-9.3","51.4","-103.1","4.2","-12.7","53.0","-103.9","5.7","-13.5"
"L I APEX","39.3","-91.5","36.5","-94.9","-2.9","-3.3","36.8","-93.7","-2.5","-2.2","38.6","-95.7","-0.7","-4.2","42.0","-96.0","2.6","-4.5","42.6","-99.6","3.3","-8.0","45.5","-100.1","6.2","-8.6","45.8","-102.8","6.5","-11.2"
