"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.2","0.0","68.0","0.0","0.8","0.0","68.4","0.0","1.2","0.0","69.8","0.0","2.5","0.0","72.7","0.0","5.5","0.0","71.6","0.0","4.4","0.0","74.1","0.0","6.9","0.0"
"PORION","-21.6","-12.2","-20.2","-9.9","1.5","2.3","-20.5","-9.1","1.1","3.1","-20.2","-9.9","1.5","2.2","-23.5","-6.7","-1.9","5.5","-20.4","-9.7","1.2","2.5","-23.4","-10.2","-1.7","2.0"
"ORBITALE","50.0","-25.5","52.1","-21.4","2.1","4.0","52.4","-23.0","2.4","2.5","53.3","-20.8","3.3","4.7","56.3","-20.9","6.3","4.6","54.2","-20.7","4.2","4.8","56.4","-21.3","6.4","4.2"
"U I APEX","n/a","n/a","56.2","-51.1","n/a","n/a","57.9","-54.2","n/a","n/a","57.1","-52.9","n/a","n/a","58.2","-56.7","n/a","n/a","60.1","-53.2","n/a","n/a","61.0","-51.6","n/a","n/a"
"POINT A","61.0","-51.4","61.9","-53.8","0.9","-2.3","62.1","-54.8","1.1","-3.4","61.8","-55.6","0.8","-4.2","62.9","-57.8","1.9","-6.4","65.6","-55.6","4.5","-4.2","68.9","-56.2","7.9","-4.8"
"U I EDGE","n/a","n/a","61.2","-77.4","n/a","n/a","63.4","-79.0","n/a","n/a","64.5","-81.5","n/a","n/a","70.7","-80.7","n/a","n/a","68.1","-82.6","n/a","n/a","70.6","-80.3","n/a","n/a"
"L I EDGE","n/a","n/a","58.7","-74.4","n/a","n/a","60.5","-76.9","n/a","n/a","62.3","-78.3","n/a","n/a","68.6","-80.9","n/a","n/a","64.6","-78.4","n/a","n/a","70.1","-80.3","n/a","n/a"
"POINT B","48.2","-91.5","49.3","-94.3","1.2","-2.9","50.9","-97.0","2.8","-5.5","51.3","-98.1","3.1","-6.7","55.8","-101.4","7.7","-10.0","55.9","-97.4","7.7","-6.0","58.2","-100.0","10.0","-8.6"
"L I APEX","n/a","n/a","43.7","-95.5","n/a","n/a","42.6","-98.3","n/a","n/a","44.3","-97.9","n/a","n/a","50.5","-100.7","n/a","n/a","48.0","-101.0","n/a","n/a","52.7","-99.0","n/a","n/a"
"POGONION","45.2","-101.0","47.9","-102.3","2.7","-1.3","49.1","-105.3","3.9","-4.3","49.4","-106.4","4.1","-5.4","55.4","-111.2","10.2","-10.2","53.6","-109.5","8.4","-8.6","56.5","-111.0","11.3","-10.0"
"MENTON","37.6","-104.8","38.8","-107.2","1.2","-2.4","40.3","-110.4","2.7","-5.6","40.4","-112.3","2.8","-7.4","46.6","-116.9","9.0","-12.0","44.0","-113.6","6.4","-8.8","46.8","-116.5","9.2","-11.6"
"U 6 APEX","31.6","-42.7","35.8","-43.7","4.2","-1.0","36.2","-44.7","4.6","-2.0","36.1","-46.6","4.5","-3.9","37.6","-49.2","6.0","-6.5","39.4","-47.2","7.8","-4.5","41.0","-50.4","9.4","-7.7"
"U 6 CUSP","24.2","-60.3","26.5","-63.7","2.2","-3.4","28.9","-65.0","4.6","-4.8","29.6","-67.8","5.4","-7.5","N/A","N/A","n/a","n/a","33.1","-69.3","8.8","-9.0","40.3","-71.9","16.1","-11.6"
"L 6 CUSP","29.1","-63.4","30.2","-65.2","1.1","-1.8","32.5","-68.2","3.5","-4.8","32.8","-69.3","3.7","-5.9","N/A","N/A","n/a","n/a","38.8","-72.2","9.7","-8.8","41.9","-74.0","12.9","-10.6"
"L 6 APEX","17.6","-82.6","19.3","-84.9","1.7","-2.3","22.1","-87.7","4.5","-5.0","23.4","-89.4","5.7","-6.8","N/A","N/A","n/a","n/a","29.0","-92.8","11.4","-10.1","32.7","-95.6","15.0","-12.9"
